;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;range_dia_anterior;posicao_range_d1;distancia_mm20;mov_direcional_c1;pavio_superior_c1;pavio_inferior_c1;range_c1;tamanho_medio_ordem_c1;pavio_superior_dolar_c1;pavio_inferior_dolar_c1;range_dolar_c1;volume_real_norm_dolar_c1;tamanho_medio_ordem_dolar_c1;correlacao_movel_WIN_WDO_c1;ratio_vol_WIN_WDO_c1;mag_decisao
2021-03-29;1.0;6.123233995736766e-17;-0.3943558551133187;0.9189578116202306;0.0;1.0;0.020881874532905437;0.48210526315789476;0.006984135374612635;-1;0.0035870516185476813;0.002668416447944007;0.008223972003499563;2.9693010006819014;0.0014739032425871337;0.001387203051846714;0.0065025143055314726;1.395378786207505;2.8993662762714583;0.36663624827059266;3.493819279894231;945.0
2021-03-30;1.0;6.123233995736766e-17;-0.20129852008866114;0.9795299412524943;0.7818314824680298;0.6234898018587336;0.017716535433070866;0.8049382716049382;0.014378418527788827;-1;0.002123050259965338;0.0017764298093587523;0.008492201039861352;3.0029101227398707;0.0015560165975103733;0.003284923928077455;0.006224066390041493;1.5339474383000626;2.586318484571292;0.6271167887163688;3.2351208831051577;1215.0
2021-03-31;1.0;6.123233995736766e-17;-2.4492935982947064e-16;1.0;0.9749279121818236;-0.22252093395631434;0.021880415944540727;0.8752475247524752;0.025088914129343196;-1;0.001625668449197861;0.0010267379679144385;0.0038502673796791446;2.8678653980081434;0.0008661008141347653;0.004850164559154686;0.007275246838732028;1.3707611646008204;2.5922531307154664;-0.19336131506608295;2.6831966549608954;40.0
2021-04-01;0.8660254037844387;-0.4999999999999998;0.20791169081775931;0.9781476007338057;0.43388373911755823;-0.900968867902419;0.01227807486631016;0.8501742160278746;0.024989225953092973;-1;0.0032441200324412004;0.0037563495112477056;0.008409100610406796;3.235170610389207;0.0022182786157941437;0.0032830523513753328;0.013487133984028394;1.763061644865641;2.7785170399940857;-0.43705475218261775;2.770845690943665;710.0
2021-04-05;0.8660254037844387;-0.4999999999999998;0.8660254037844386;0.5000000000000001;0.0;1.0;0.024202842873607376;0.32098765432098764;0.010899152773981962;1;0.0014274591227614846;8.651267410675664e-05;0.007007526602647288;3.1811098734298726;0.001320771330456987;0.002641542660913974;0.0051069824777670155;1.3257418580381923;2.3922091982484632;0.014816384689079592;3.563859962001721;565.0
2021-04-06;0.8660254037844387;-0.4999999999999998;0.9510565162951535;0.30901699437494745;0.7818314824680298;0.6234898018587336;0.019465351674020245;0.76;0.024809852294223268;1;8.525876033762469e-05;0.0016199164464148692;0.004135049876374797;3.180555152394775;0.0006167400881057269;0.002555066079295154;0.006519823788546255;1.7521239850670045;2.584983535165139;-0.6963358944165627;3.026114604604276;40.0
2021-04-07;0.8660254037844387;-0.4999999999999998;0.9945218953682733;0.10452846326765346;0.9749279121818236;-0.22252093395631434;0.009890016199164464;0.4482758620689655;0.023759631474385336;-1;0.0012327835402142493;0.000595136881482741;0.004761095051861928;3.16478111336387;0.0016080042880114347;0.002948007861354297;0.0059853492942647845;1.9587208840070474;2.7150872531448313;-0.8183445090769904;2.8077847499407587;670.0
2021-04-08;0.8660254037844387;-0.4999999999999998;0.9945218953682734;-0.10452846326765333;0.43388373911755823;-0.900968867902419;0.015473558918551266;0.8598901098901099;0.02614279825570043;-1;0.001479978011755254;0.0013108376675546535;0.005793056788870566;3.046254303742923;0.001157613535173642;0.0018699910952804987;0.005253784505788068;1.6626590486914605;2.553926014374194;-0.4064463176305551;2.5482784157320415;25.0
2021-04-09;0.8660254037844387;-0.4999999999999998;0.9510565162951536;-0.30901699437494734;-0.433883739117558;-0.9009688679024191;0.013615797708148336;0.391304347826087;0.022033373666882405;-1;0.0007200948830904778;0.0020332090816672314;0.005718400542189088;3.013468692008632;0.0026761819803746653;0.0008920606601248885;0.009009812667261374;1.6448194186037912;2.72556081959618;-0.545828153714434;2.6238014293286542;105.0
2021-04-12;0.8660254037844387;-0.4999999999999998;0.5877852522924732;-0.8090169943749473;0.0;1.0;0.012622839715350729;0.18120805369127516;0.015740848821273707;1;0.000978931687593105;0.0003830602255799106;0.0060012768674185995;3.2012450923085676;0.0;0.0009676284306826178;0.008180858550316679;1.6821369220145324;2.7442198525643553;-0.3652774378609965;2.2225189037189734;265.0
