time;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick
2024-01-08 11:30:00;132670.0;132675.0;133035.0;132625.0;684647;189771
2024-01-08 11:40:00;132680.0;132835.0;132890.0;132555.0;514150;145668
2024-01-08 11:50:00;132830.0;132950.0;132965.0;132655.0;428931;121342
2024-01-08 12:00:00;132955.0;133115.0;133215.0;132765.0;549204;151015
2024-01-08 12:10:00;133110.0;133105.0;133190.0;133010.0;285830;80154
2024-01-08 12:20:00;133110.0;133305.0;133315.0;133015.0;345625;94636
2024-01-08 12:30:00;133300.0;133385.0;133460.0;133265.0;375177;99421
2024-01-08 12:40:00;133385.0;133480.0;133485.0;133345.0;224055;59842
2024-01-08 12:50:00;133480.0;133405.0;133490.0;133350.0;169309;47164
2024-01-09 10:00:00;133105.0;132900.0;133105.0;132855.0;401455;113002
2024-01-09 10:10:00;132900.0;132770.0;133005.0;132725.0;511014;146559
2024-01-09 10:20:00;132765.0;132765.0;132815.0;132610.0;400474;114087
2024-01-09 10:30:00;132770.0;132900.0;132920.0;132675.0;455753;132871
2024-01-09 10:40:00;132900.0;132930.0;132945.0;132760.0;317842;93244
2024-01-09 10:50:00;132935.0;133010.0;133090.0;132900.0;501862;142023
2024-01-09 11:00:00;133010.0;132900.0;133075.0;132775.0;486821;141893
2024-01-09 11:10:00;132900.0;133005.0;133020.0;132865.0;320556;89385
2024-01-09 11:20:00;133005.0;132740.0;133020.0;132670.0;400988;105218
2024-01-09 11:30:00;132740.0;132775.0;132855.0;132460.0;783061;207368
2024-01-09 11:40:00;132775.0;132575.0;132800.0;132360.0;610454;168930
2024-01-09 11:50:00;132575.0;132580.0;132625.0;132445.0;360903;96835
2024-01-09 12:00:00;132585.0;132575.0;132600.0;132410.0;362266;96116
2024-01-09 12:10:00;132575.0;132690.0;132720.0;132450.0;370612;100485
2024-01-09 12:20:00;132695.0;132640.0;132740.0;132600.0;284028;78467
2024-01-09 12:30:00;132640.0;132640.0;132730.0;132585.0;226511;63757
2024-01-09 12:40:00;132640.0;132635.0;132665.0;132555.0;210964;60164
2024-01-09 12:50:00;132640.0;132775.0;132815.0;132615.0;241199;64440
2024-01-10 10:00:00;132630.0;132395.0;132665.0;132380.0;508439;141230
2024-01-10 10:10:00;132400.0;132575.0;132630.0;132290.0;562749;153636
2024-01-10 10:20:00;132570.0;132710.0;132835.0;132515.0;470487;134363
2024-01-10 10:30:00;132710.0;132615.0;132800.0;132515.0;544591;155847
2024-01-10 10:40:00;132620.0;132380.0;132665.0;132370.0;366369;101252
2024-01-10 10:50:00;132375.0;132410.0;132540.0;132340.0;393701;107785
2024-01-10 11:00:00;132415.0;132405.0;132465.0;132325.0;277362;78201
2024-01-10 11:10:00;132410.0;132195.0;132465.0;132110.0;449882;119188
2024-01-10 11:20:00;132195.0;132220.0;132240.0;132015.0;505879;129063
2024-01-10 11:30:00;132215.0;132165.0;132230.0;131880.0;629722;165115
2024-01-10 11:40:00;132160.0;132075.0;132210.0;132015.0;303046;87289
2024-01-10 11:50:00;132070.0;132010.0;132105.0;131935.0;298762;86801
2024-01-10 12:00:00;132005.0;131830.0;132040.0;131755.0;423693;110871
2024-01-10 12:10:00;131830.0;131755.0;131900.0;131655.0;322658;91359
2024-01-10 12:20:00;131750.0;131705.0;131755.0;131595.0;278400;76260
2024-01-10 12:30:00;131700.0;131730.0;131735.0;131615.0;181206;51781
2024-01-10 12:40:00;131730.0;131755.0;131845.0;131690.0;250842;67527
2024-01-10 12:50:00;131755.0;131845.0;131845.0;131720.0;177049;48148
2024-01-11 10:00:00;131840.0;132105.0;132110.0;131760.0;524814;159178
2024-01-11 10:10:00;132100.0;131870.0;132245.0;131855.0;529346;156671
2024-01-11 10:20:00;131865.0;131790.0;132070.0;131640.0;320909;105543
2024-01-11 10:30:00;131790.0;131790.0;132025.0;131355.0;918787;315487
2024-01-11 10:40:00;131790.0;131810.0;131910.0;131545.0;583905;183974
2024-01-11 10:50:00;131805.0;131630.0;131850.0;131435.0;509478;157498
2024-01-11 11:00:00;131635.0;132010.0;132025.0;131610.0;547457;163119
2024-01-11 11:10:00;132015.0;132360.0;132385.0;131995.0;468280;135657
2024-01-11 11:20:00;132355.0;132210.0;132430.0;132185.0;444368;125953
2024-01-11 11:30:00;132210.0;132120.0;132380.0;131985.0;696152;201172
2024-01-11 11:40:00;132120.0;131660.0;132180.0;131555.0;652809;186483
2024-01-11 11:50:00;131660.0;131785.0;131920.0;131635.0;457582;134439
2024-01-11 12:00:00;131785.0;131165.0;131840.0;131120.0;715013;203155
2024-01-11 12:10:00;131160.0;131140.0;131230.0;130950.0;460111;137211
2024-01-11 12:20:00;131135.0;131235.0;131250.0;131050.0;327006;95972
