datetime;label;cluster;retorno_total;volatilidade_total;posicao_fechamento;drawdown_maximo;runup_maximo;volume_medio_normalizado
2022-06-13;Lateral;2;-0.000243819183693373;0.009411420490564197;0.7772020725388601;0.007558394694494563;0.0018530257960696348;0.026701607612347737
2022-06-14;Super Venda;5;-0.008699455676516329;0.012927682737169518;0.21428571428571427;0.011469673405909799;0.00145800933125972;0.027920983516104884
2022-06-15;Venda;1;-0.005333207475929772;0.007740230319048518;0.25609756097560976;0.007315461582027563;0.00042476873702095523;0.02091551158699128
2022-06-17;Super Venda;5;-0.012723268901394667;0.018448739907022265;0.29708222811671087;0.01820406165891852;0.00024467824810374357;0.040328677194114454
2022-06-20;Super Compra;4;0.010420284821118444;0.013794472287004415;0.9784172661870504;0.0030764650424254456;0.010718007244578972;0.040371254729711994
2022-06-21;Venda;1;-0.003472052423101374;0.005770453322900875;0.17796610169491525;0.004498997505990513;0.0012714558169103624;0.039045577821631726
2022-06-22;Super Compra;4;0.009014842115748581;0.012650662416575356;0.8503937007874016;0.0017432015140950293;0.010907460902480327;0.0389004883932569
2022-06-23;Compra;0;0.0037580972160411413;0.008257924145774613;0.9760479041916168;0.004302032339415517;0.003955891806359096;0.039064257651440656
2022-06-24;Compra;0;0.003594787558040841;0.008986968895102102;0.40555555555555556;4.992760497278945e-05;0.008937041290129313;0.03896311178638506
2022-06-27;Compra;0;0.006663726787201725;0.006908716742613553;0.9787234042553191;9.799598216473124e-05;0.006810720760448821;0.03915900885571842
2022-06-28;Super Venda;5;-0.006461256569747818;0.011909928154684411;0.3360323886639676;0.01046337817638266;0.0014465499783017503;0.040252185918680336
2022-06-29;Venda;1;-0.0071949488522343496;0.00915275806372669;0.053475935828877004;0.007684401155107435;0.001468356908619255;0.04543875081137281
2022-06-30;Lateral;2;0.0005515996389529636;0.0075719586801725;0.847682119205298;0.005867014341590613;0.0017049443385818875;0.04018864986572522
2022-07-01;Venda;1;-0.0018102277869965304;0.011816764720671795;0.5914893617021276;0.008799718409010912;0.003017046311660884;0.043613613843467604
2022-07-04;Compra;0;0.0071668420788853805;0.009321906480228537;0.8333333333333334;0.0006014133213050669;0.008720493158923471;0.038283129792356214
2022-07-05;Compra;0;0.0004071454018016184;0.008804519313959997;0.2023121387283237;0.0013741157310804622;0.007430403582879536;0.04516229860623961
2022-07-06;Venda;1;-0.006200310015500775;0.010350517525876294;0.2463768115942029;0.008750437521876094;0.0016000800040002;0.041330142401114295
2022-07-07;Lateral;3;-0.0017648789096970292;0.004706343759192077;0.1875;0.0026473183645455436;0.002059025394646534;0.030867453340119377
2022-07-08;Compra;0;0.0037845276712867395;0.008109702152757298;0.793939393939394;0.0026540843409023885;0.00545561781185491;0.032692931300264086
2022-07-11;Lateral;3;-0.0034553558014923133;0.004857529170213831;0.21649484536082475;0.0045069858280334515;0.0003505433421803796;0.035826918769213435
2022-07-12;Compra;0;0.007824010567494792;0.009144947416552356;0.95;0.0008636894782299446;0.00828125793832241;0.03622310643305342
2022-07-13;Super Compra;4;0.009300444803881924;0.015365952284674484;0.9078947368421053;0.004650222401940962;0.010715729882733522;0.04502316813769777
2022-07-14;Lateral;2;-0.0008767858063850637;0.005312290473980092;0.8252427184466019;0.005260714838310383;5.157563566970963e-05;0.03562956878307501
2022-07-15;Super Compra;4;0.010332294911734164;0.011682242990654205;0.8888888888888888;5.1921079958463136e-05;0.011630321910695742;0.03584772369209041
2022-07-18;Lateral;2;0.0012616704516780217;0.005046681806712087;0.87;0.003128942720161494;0.001917739086550593;0.029312921515668947
2022-07-19;Compra;0;0.0005091908956667855;0.008707164315902032;0.39766081871345027;0.002953307194867356;0.005753857121034676;0.03833841083082387
2022-07-20;Compra;0;0.005340793489318413;0.009053916581892167;0.8370786516853933;0.0022380467955239063;0.00681586978636826;0.0319940545215314
2022-07-21;Venda;1;-0.00035523978685612787;0.00786602385181426;0.896774193548387;0.007409286982999239;0.00045673686881502157;0.038267516210691806
2022-07-22;Compra;0;0.005709134615384615;0.008463541666666666;0.9112426035502958;0.002003205128205128;0.006460336538461538;0.034596233719001286
2022-07-25;Lateral;3;-0.0011891195560620323;0.005549224594956151;0.45535714285714285;0.0037159986126938513;0.0018332259822622999;0.035038530288743236
2022-07-26;Venda;1;-0.00321082789962458;0.005730092867022327;0.4224137931034483;0.005631298162418494;9.879470460383324e-05;0.03828041185540307
2022-07-27;Lateral;2;0.0024808970923886078;0.005259501835863848;0.7641509433962265;0.0015381561972809368;0.0037213456385829114;0.03387079712944422
2022-07-28;Lateral;2;-0.0002451340883463254;0.004902681766926509;0.64;0.0033828504191792913;0.0015198313477472177;0.03648262473948731
2022-07-29;Lateral;2;0.003874279626132016;0.005617705457891423;0.8275862068965517;0.0007748559252264032;0.00484284953266502;0.03275914233821955
2022-08-01;Compra;0;0.00518310404960279;0.01051152877349351;0.8663594470046083;0.003923658205774075;0.006587870567719434;0.04731033577994349
2022-08-02;Super Compra;4;0.009107290702771149;0.015535966492962548;0.8996865203761756;0.004870208931963181;0.010665757560999366;0.0636334434808416
2022-08-03;Venda;1;-0.004906204906204906;0.007022607022607022;0.2945205479452055;0.006974506974506974;4.81000481000481e-05;0.04185137313940412
2022-08-04;Lateral;2;0.0005209319946959651;0.0035044516006819473;0.6621621621621622;0.0017995832544042433;0.0017048683462777042;0.036025559214095726
2022-08-05;Compra;0;0.005470868792668101;0.009632469840082297;0.8932038834951457;0.0031328906761432713;0.006499579163939026;0.041136559531962096
2022-08-08;Lateral;2;-0.0008300285898736512;0.0039195794521811305;0.7294117647058823;0.0036890159549940052;0.00023056349718712533;0.03511600707861774
2022-08-09;Venda;1;-0.0034932892075749218;0.007492186063614635;0.3067484662576687;0.005791505791505791;0.0017006802721088435;0.047150439081518156
2022-08-10;Compra;0;0.0030422739862870636;0.007219724833129002;0.9371069182389937;0.003723380102619988;0.0034963447305090133;0.04258953426918483
2022-08-11;Venda;1;-0.005168074779795075;0.005887111270896998;0.0916030534351145;0.005707352148121517;0.00017975912277548085;0.04619693728588316
2022-08-12;Lateral;3;-0.0022028412156087033;0.004585506203920158;0.23529411764705882;0.0032817838518252114;0.001303722352094947;0.03298999473804973
2022-08-15;Compra;0;0.0037066809574848162;0.007859949982136478;0.7784090909090909;0.002411575562700965;0.005448374419435513;0.036918135207145354
2022-08-16;Venda;1;-0.004058405752349023;0.008337377034717014;0.15343915343915343;0.005337685826459041;0.0029996912082579734;0.04315238114983283
2022-08-17;Lateral;3;0.00017328019407381737;0.00428868480332698;0.3333333333333333;0.001256281407035176;0.003032403396291804;0.03476612086559194
2022-08-18;Lateral;2;0.001295728415324148;0.004794195136699348;0.6396396396396397;0.0017708288342763356;0.003023366302423012;0.036213545569162016
2022-08-19;Venda;1;-0.003376748673420164;0.0065780818313379815;0.26666666666666666;0.005130903828443626;0.001447178002894356;0.037963832328485166
2022-08-22;Lateral;2;0.001115324559446799;0.005532009814856123;0.6854838709677419;0.0026767789426723177;0.0028552308721838055;0.04436559625103088
2022-08-23;Lateral;2;0.0019332161687170475;0.004349736379613357;0.5151515151515151;0.00030755711775043936;0.0040421792618629175;0.03510926952744823
2022-08-24;Lateral;2;0.002039399461945674;0.004512713703028725;0.6057692307692307;0.0006942636466198039;0.003818450056408921;0.03555331586895911
2022-08-25;Venda;1;-0.0017791277934476025;0.005684530266869169;0.3282442748091603;0.0036450423085267955;0.0020394879583423738;0.04402174733870833
2022-08-26;Super Venda;5;-0.0060274923030224185;0.010016911669051646;0.329004329004329;0.009323099605394389;0.0006938120636572568;0.05593267387397105
2022-08-29;Lateral;2;0.003336113427856547;0.0057065098108072514;0.6384615384615384;0.00030727360519731354;0.005399236205609938;0.03574080358025406
2022-08-30;Venda;1;-0.0016322569260631727;0.006970178224810305;0.5506329113924051;0.005470266454914417;0.0014999117698958884;0.046976172972593766
2022-08-31;Compra;0;4.448794376723908e-05;0.00676216745262034;0.2894736842105263;0.0019129815819912803;0.00484918587062906;0.05090189648664311
2022-09-01;Venda;1;-0.005162342073087895;0.006475569442557624;0.06293706293706294;0.005569895394647467;0.0009056740479101572;0.044027399027523374
2022-09-02;Super Compra;4;0.012923351158645277;0.015285204991087344;0.9096209912536443;0.000980392156862745;0.0143048128342246;0.040972412670111716
2022-09-05;Lateral;3;-0.002719894713753016;0.005132704540469401;0.42735042735042733;0.004913358192586093;0.00021934634788330776;0.031559336145228
2022-09-06;Compra;0;0.002252150804017837;0.006351065267330301;0.8439716312056738;0.003107968109544615;0.0032430971577856855;0.04455083250075777
2022-09-08;Venda;1;-0.006209515300424392;0.00862184498548135;0.25906735751295334;0.008443153897699352;0.00017869108778199687;0.05028653799149128
2022-09-09;Lateral;2;0.004072778786134845;0.005179512151932356;0.8461538461538461;0.0003098853424233034;0.004869626809509053;0.032830254723967875
2022-09-12;Venda;1;-0.005157990550908066;0.00563477959342898;0.06923076923076923;0.005548090676606996;8.66889168219843e-05;0.032060772763140954
2022-09-13;Venda;1;-0.0037471345441721037;0.008420031740433785;0.03664921465968586;0.00405572209486863;0.004364309645565156;0.04934317068220097
2022-09-14;Venda;1;-0.0017364976178814728;0.00739124627098268;0.6867469879518072;0.006812413731688855;0.0005788325392938243;0.046293239150612335
2022-09-15;Super Venda;5;-0.01339764201500536;0.014469453376205787;0.018518518518518517;0.013665594855305467;0.0008038585209003215;0.049733104541875496
2022-09-16;Compra;0;0.0031041723728658815;0.008171277275632247;0.39106145251396646;9.129918743723181e-05;0.008079978088195015;0.045041397937224226
2022-09-19;Super Compra;4;0.00953808420765772;0.012263251124131354;0.937037037037037;0.0019530362901394377;0.010310214833991915;0.047969977562046066
2022-09-20;Compra;0;0.0020866631148996626;0.006126798082045818;0.5;0.0009767359261232463;0.005150062155922571;0.04221841863579835
2022-09-21;Lateral;3;-0.0027476179924662085;0.006337247950365611;0.09090909090909091;0.003323731442499446;0.0030135165078661644;0.037016574233247904
2022-09-22;Venda;1;-0.002209163610657005;0.0057880086599213535;0.25190839694656486;0.003667211593690629;0.002120797066230725;0.04335011829662064
2022-09-23;Venda;1;-0.003613329169826471;0.006691350314493465;0.22666666666666666;0.0051300352411116565;0.0015613150733818084;0.0362184081801971
2022-09-26;Venda;1;-0.005828289621161175;0.0095045953822013;0.20754716981132076;0.007800941492938803;0.0017036538892624973;0.04919054407854614
2022-09-27;Compra;0;0.001226269415932419;0.008856390226178582;0.6717948717948717;0.004723408120628577;0.004132982105550005;0.04406021470394925
2022-09-28;Lateral;2;0.0017452006980802793;0.007118581794801139;0.7290322580645161;0.003444475062000551;0.003674106732800588;0.03978829395383199
2022-09-29;Compra;0;0.004994631937637119;0.010642767119451058;0.9824561403508771;0.00546141996919199;0.0051813471502590676;0.0405329016944061
2022-09-30;Lateral;2;0.002793040293040293;0.006593406593406593;0.8263888888888888;0.002655677655677656;0.003937728937728938;0.03477581693322112
2022-10-03;Super Compra;4;0.009903149812407294;0.011037431288718261;0.924901185770751;0.00030538347439141433;0.010732047814326847;0.04348709338357598
2022-10-04;Lateral;3;-0.0009788067069537833;0.006851646948676483;0.422360248447205;0.0038726700144693167;0.0029789769342071664;0.038547832762897784
2022-10-05;Venda;1;-0.00413610779464438;0.007163568139177895;0.4166666666666667;0.00712092785263517;4.264028654272557e-05;0.037007320657022405
2022-10-06;Venda;1;-0.00429980608717646;0.007334963325183374;0.39655172413793105;0.0072084984402664195;0.00012646488491695472;0.03770323183532356
2022-10-07;Lateral;2;-0.0010616612875828095;0.006200101919483608;0.7191780821917808;0.005520638695430609;0.0006794632240529981;0.03218406451434002
2022-10-10;Lateral;3;-0.0021932653851115987;0.005547671268223455;0.3333333333333333;0.0040424891411860835;0.0015051821270373716;0.032271964303054505
2022-10-11;Lateral;2;0.0;0.006683157574968537;0.5324675324675324;0.003558564423035195;0.003124593151933342;0.0398220297710791
2022-10-13;Lateral;2;0.0004328816934331847;0.006666378078871045;0.7662337662337663;0.004675122289078395;0.0019912557897926496;0.0365889798146035
2022-10-14;Super Venda;5;-0.0070280694236125995;0.012427683736875937;0.3310344827586207;0.011142061281337047;0.0012856224555388902;0.04744822098462743
2022-10-17;Compra;0;0.004556896102768857;0.006857043659404566;0.930379746835443;0.0018227584411075427;0.005034285218297023;0.03774466794773257
2022-10-18;Venda;1;-0.00446979694351028;0.008684176918819973;0.2647058823529412;0.006768549657315568;0.0019156272615044058;0.041742208990649975
2022-10-19;Compra;0;0.001700174267862456;0.007140731925022315;0.375;0.000977600204020912;0.006163131721001402;0.04217130591368536
2022-10-20;Compra;0;0.004965285083105407;0.005764780138859667;0.9562043795620438;0.000547022932884494;0.0052177572059751735;0.042587534252740374
2022-10-21;Compra;0;0.002210728288979728;0.004921998832068074;0.5084745762711864;0.0002919829815633603;0.004630015850504713;0.04390011434502709
2022-10-24;Venda;1;-0.0014639451229713904;0.005813953488372093;0.7122302158273381;0.005604818470804751;0.00020913501756734148;0.04804209120339216
