;gap;range_dia_anterior;atr_dia_anterior;posicao_range_d1;distancia_mm20;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;mov_direcional_c1;pavio_superior_c1;pavio_inferior_c1;range_candle_c1;volume_real_norm_c1;tamanho_medio_ordem_c1;diferenca_MA_c1;mov_direcional_c2;pavio_superior_c2;pavio_inferior_c2;range_candle_c2;volume_real_norm_c2;tamanho_medio_ordem_c2;diferenca_MA_c2;mov_direcional_c3;pavio_superior_c3;pavio_inferior_c3;range_candle_c3;volume_real_norm_c3;tamanho_medio_ordem_c3;diferenca_MA_c3;mov_direcional_c4;pavio_superior_c4;pavio_inferior_c4;range_candle_c4;volume_real_norm_c4;tamanho_medio_ordem_c4;diferenca_MA_c4;label_Compra;label_Lateral;label_Venda
2021-03-22;0.0024165012514024337;0.016361426959465325;3367.8571428571427;0.7612732095490716;0.024693209587917177;1.0;6.123233995736766e-17;-0.9680771188662041;-0.2506525322587213;0.0;1.0;-1.0;0.00021523891519586742;0.0004735256134309083;0.006629358588032716;0.6802090989586845;2.768370012881688;-0.0021508170217680845;-1.0;0.00012990949638418567;0.0006062443164595332;0.003031221582297666;0.6576002274256638;3.204094044677249;-0.003814621913580191;1.0;0.001953125;0.0024305555555555556;0.004427083333333333;1.419524987578305;3.2465190642467032;-0.004909123350163292;-1.0;0.0006509851575384081;0.00160576338859474;0.005815467407343113;1.5738150488804283;3.4044034209180336;-0.005574912891986063;False;False;True
2021-03-23;-0.00857736960665396;0.021911321566939302;3171.0714285714284;0.3143418467583497;0.008056168540860059;1.0;6.123233995736766e-17;-0.9987165071710528;-0.05064916883871355;0.7818314824680298;0.6234898018587336;-1.0;0.0019225727519007253;0.0009612863759503626;0.005461854408808879;0.961424140323312;2.97021908964415;-0.0006522490423135106;1.0;0.00192754194594121;0.0008323476584746134;0.004731239321855697;1.107535873056319;3.068229658125862;-0.002735027787493713;-1.0;0.0025358516963973417;0.003279118572927597;0.005858691850297307;1.5206865894910782;3.255440831037904;-0.0054557202473778195;1.0;0.0027544596012591817;0.0017925848198670864;0.005640083945435467;1.6901143514897248;3.2828553793561865;-0.003663750224434974;False;True;False
2021-03-24;0.003401060070671378;0.023638905881324827;2991.0714285714284;0.20702402957486138;0.0016336014850120923;1.0;6.123233995736766e-17;-0.9884683243281114;0.15142777750457667;0.9749279121818236;-0.22252093395631434;1.0;0.0032134524805211956;0.0002641193819606462;0.0059867059911079806;0.8904345943465073;3.0171065139131197;-0.0034005639959799206;-1.0;0.0003073815483247706;0.0032494620822904317;0.004127695077504062;1.1075223928909643;3.4066669680457076;-0.0016842413591095916;1.0;0.002548330404217926;0.0024165202108963092;0.005096660808435852;1.4709664570488796;3.490151880071429;0.0008102817925775951;1.0;0.0021966435286881643;0.0010104560231965556;0.004964414374835252;1.6191314673423622;3.5455683537389975;0.0017785964194174284;False;True;False
2021-03-25;0.00031310104217918325;0.029185191706651407;2963.5714285714284;0.05580693815987934;-0.012118816079793801;1.0;6.123233995736766e-17;-0.9377521321470804;0.3473052528448203;0.43388373911755823;-0.900968867902419;-1.0;0.004382042568413522;0.004292613128241817;0.01028438561974602;1.3193672821073241;2.8908628091989206;-0.010669214538795319;1.0;0.0009405652349173646;0.003269583911855601;0.004792403816007524;0.9055985685157357;2.955604852782126;-0.00874365860937038;1.0;0.0004028648164726947;0.007699194270367055;0.011369740376007163;1.4530591719609283;3.1603916007136648;-0.005408567448454999;1.0;0.00174006157140945;0.003524740106188373;0.006558693615312542;1.7466692887597322;3.4171620026036673;-0.0016239392409073967;False;True;False
2021-03-26;0.0019380698586089944;0.029377571096404938;2968.214285714286;0.8812785388127854;0.004127397532390139;1.0;6.123233995736766e-17;-0.848644257494751;0.5289640103269624;-0.433883739117558;-0.9009688679024191;-1.0;0.0;0.0020222446916076846;0.005099573570141117;0.6956814776568027;2.7507151630733424;-0.00032338198762320384;1.0;0.0011906336817039292;0.0014111214005379901;0.0050271199894165895;0.8194360588116338;3.089322937073897;-0.0011193227364263505;1.0;0.00021996392591614976;0.00039593506664906955;0.011658088073555936;1.5469654835823043;3.408957572992701;0.0014697492723774303;1.0;0.0013053694195457315;0.00021756156992428858;0.004264206770516056;1.3299794289146867;3.584216046145779;0.0049613075866058315;False;True;False
2021-03-29;-0.002574283345695711;0.020881874532905437;2674.285714285714;0.48210526315789476;0.006984135374612635;1.0;6.123233995736766e-17;-0.3943558551133187;0.9189578116202306;0.0;1.0;1.0;0.0028433945756780404;0.0007436570428696413;0.004330708661417323;0.8142014428822895;2.8147681735959207;0.0012627918384792807;-1.0;0.0003059841762468855;0.0026664335358657166;0.005682563273156445;1.0508327052879896;3.101718120889094;0.00019967370394723656;1.0;0.002761220196353436;0.0005259467040673212;0.009247896213183731;1.627817828559612;3.333123082534166;-1.9364083497899864e-05;1.0;0.0016991983269431857;0.0012635064482398048;0.00527187173231091;1.6676796582632873;3.4800352597179223;0.0006423724311140231;False;True;False
2021-03-30;-0.0018164518640256034;0.017716535433070866;2539.285714285714;0.8049382716049382;0.014378418527788827;1.0;6.123233995736766e-17;-0.20129852008866114;0.9795299412524943;0.7818314824680298;0.6234898018587336;-1.0;0.002123050259965338;0.0005632582322357019;0.004636048526863085;0.7918190077343172;2.818972928924409;0.0017750765742950987;-1.0;0.0013457781636639896;0.001779900151942696;0.005773822444106794;1.1241675622281773;3.148215519634304;-0.00011123685712353975;1.0;0.0016105863404866582;0.0011752927349497236;0.008052931702433291;1.5163167216047206;3.4051135895231477;-0.0008467807896229883;1.0;0.0016020783719419788;0.0021216713574366748;0.008962978999783502;1.9926303650619102;3.4299019382001568;0.0009380503867064999;True;False;False
2021-03-31;-0.0009402914903620122;0.021880415944540727;2483.5714285714284;0.8752475247524752;0.025088914129343196;1.0;6.123233995736766e-17;-2.4492935982947064e-16;1.0;0.9749279121818236;-0.22252093395631434;-1.0;0.001625668449197861;0.0009411764705882353;0.003550802139037433;0.7491947643337077;2.659926951611893;0.0008136348064405618;-1.0;0.0007708119218910585;0.0010277492291880781;0.002012675573826653;0.6495345101209898;3.1545795028941095;-0.00027126968489876187;1.0;0.00214169450869528;0.0011993489248693567;0.003897884005825409;1.4206627540513688;3.4517714798549943;-0.000908524432647883;-1.0;0.002739843315210411;0.0022261226936084594;0.005864977096622287;1.619303326201548;3.6367721851478856;-0.001095019091419839;True;False;False
2021-04-01;0.004329932264425963;0.01227807486631016;2423.9285714285716;0.8501742160278746;0.024989225953092973;0.8660254037844387;-0.4999999999999998;0.20791169081775931;0.9781476007338057;0.43388373911755823;-0.900968867902419;-1.0;0.0032441200324412004;8.537157980108423e-05;0.005164980577965595;0.8183363520058834;3.0504128915916287;0.0017390808530048621;1.0;0.0005131713992473486;0.003335614095107766;0.004276428327061239;1.075587511256489;3.3925917151753078;0.0020518081559374197;-1.0;0.0010686500812174063;0.0008549200649739249;0.004060870308626143;1.3846134735499123;3.4482272231839457;0.001727781585560928;-1.0;0.0014993145990404386;0.001113776559287183;0.006554146675805346;1.7153237471850258;3.644369083326578;-2.8671368771103413e-05;False;False;True
2021-04-05;0.007408052989367265;0.024202842873607376;2532.5;0.32098765432098764;0.010899152773981962;0.8660254037844387;-0.4999999999999998;0.8660254037844386;0.5000000000000001;0.0;1.0;1.0;0.0005190760446405398;8.651267410675664e-05;0.005753092828099316;0.924971884796124;2.994275271452592;-0.001444057131107983;1.0;0.0014200877872450298;0.0002581977794990963;0.0019795163094930715;0.8312770358962522;3.4202355387161636;0.0017542601754260314;1.0;0.0011615401161540115;0.00043020004302000433;0.006496020649602065;1.7048162334314632;3.9050064022430626;0.0064976145287802605;-1.0;0.0014554794520547946;0.0007705479452054794;0.0023116438356164384;1.238817847036416;3.894066103633082;0.007197153485363023;True;False;False
