datetime;label;cluster;retorno_total;pavio_contra
2021-02-22;Lateral;0;0.0038738979428266096;0.004898031881734793
2021-02-23;Lateral;1;-0.005246589716684155;0.001049317943336831
2021-02-24;Lateral;1;-0.0035083160083160085;0.0012993762993762994
2021-02-25;Lateral;1;0.0017206521271561923;0.002365896674839764
2021-02-26;Lateral;2;-0.010262960842179447;0.0012773642249922917
2021-03-01;Lateral;1;0.0013526918567950221;0.003967896113265398
2021-03-02;Indefinido;-1;0.0011530301632690712;0.006410847707776036
2021-03-03;Indefinido;-1;-0.014396256973186972;0.0017545438186071622
2021-03-04;Lateral;1;0.0011032656663724624;0.000970873786407767
2021-03-05;Lateral;1;0.0032443333771756764;0.0006576351440220965
2021-03-08;Lateral;3;-0.0025015360308961645;0.004739752479592733
2021-03-09;Lateral;1;-9.03342366757001e-05;0.004697380307136405
2021-03-10;Lateral;1;0.0018294587479362812;0.0034358127705144794
2021-03-11;Lateral;1;-0.003977620421365504;0.0017921146953405018
2021-03-12;Lateral;1;-0.0017530788447210413;0.001139501249068677
2021-03-15;Lateral;1;0.003541602903239911;0.0008744698526518298
2021-03-16;Lateral;1;0.001878303411523173;0.00104835539247805
2021-03-17;Lateral;1;0.00315955766192733;4.388274530454625e-05
2021-03-18;Lateral;1;0.002027347625415175;0.002070482681275072
2021-03-19;Lateral;1;-0.00038915553249448695;0.0022484541877459247
2021-03-22;Lateral;1;-0.004486062717770035;0.0002613240418118467
2021-03-23;Lateral;0;0.004105162022884095;0.0051969604332256095
2021-03-24;Lateral;1;0.0012280163150739003;0.0033770448664532256
2021-03-25;Lateral;3;-0.0030300329738882454;0.004767846003030033
2021-03-26;Lateral;1;-0.0018226002430133657;0.002690505120638778
2021-03-29;Indefinido;-1;-0.00569441425777005;0.0035209737013692675
2021-03-30;Lateral;1;0.0023259820813232254;0.0007753273604410751
2021-03-31;Lateral;1;0.00441359214980503;0.00132836268586365
2021-04-01;Lateral;1;-0.002795338235926547;0.0010751300907409797
2021-04-05;Lateral;1;0.0025687130747495505;0.0003424950766332734
2021-04-06;Lateral;1;0.0038683897296378166;0.0037408603978915152
2021-04-07;Lateral;1;-0.0030098774852685573;0.0011869939378523888
2021-04-08;Lateral;1;-0.002501696065128901;0.00021200814111261874
2021-04-09;Lateral;1;0.0032685287375838357;0.000976313778758808
2021-04-12;Lateral;1;0.001437206746417551;0.0004227078665933973
2021-04-13;Lateral;1;0.002071268546307647;0.0019867269729889675
2021-04-14;Lateral;1;0.0027364318587006094;0.0004560719764501016
2021-04-15;Lateral;1;-0.005180708030097446;0.0003289338431807903
2021-04-16;Lateral;1;0.003479413470300721;0.0007455886007787259
2021-04-19;Lateral;1;0.0015233860342555995;0.0028820816864295125
2021-04-20;Lateral;1;0.0006615670870374199;0.0011990903452553236
2021-04-22;Lateral;1;0.002743598270701696;0.002244762221483206
2021-04-23;Lateral;1;-0.003308245802663138;0.0014473575386651227
2021-04-26;Lateral;1;-0.001029484434195355;0.00016471750947125678
2021-04-27;Lateral;1;-0.005396943105508178;0.0014419313640670704
2021-04-28;Lateral;1;0.0014917333112335807;0.0009116148013094104
2021-04-29;Lateral;1;-0.004043571546459812;4.1260934147549104e-05
2021-04-30;Lateral;1;-0.004655803126039242;0.00016627868307283005
2021-05-03;Lateral;1;0.005194587574881656;0.001298646893720414
2021-05-04;Lateral;1;-0.0028223598298159147;0.0016428661695943383
2021-05-05;Lateral;1;0.0057075709249622296;0.0014268927312405574
2021-05-06;Lateral;1;-0.0002087246921310791;0.00029221456898351076
2021-05-07;Lateral;1;0.0012781923885704862;8.246402506906362e-05
2021-05-10;Lateral;1;-0.0011840601012575536;0.00057161522129675
2021-05-11;Lateral;1;-8.203445447087777e-05;0.0008613617719442166
2021-05-12;Lateral;1;-0.003865608422091541;4.1123493852037666e-05
2021-05-13;Lateral;1;-0.0014013683950210205;0.002184486027532767
2021-05-14;Lateral;1;-0.00176034715683465;0.0019650386866991443
2021-05-17;Lateral;1;0.0024533856722276743;0.0014720314033366045
2021-05-18;Lateral;1;0.00032546786004882016;0.001545972335231896
2021-05-19;Lateral;1;-0.0011413198548893327;0.0005706599274446664
2021-05-20;Lateral;1;0.0014674112420005707;0.001100558431500428
2021-05-21;Lateral;1;-0.002201924645245474;0.00032621105855488503
2021-05-24;Lateral;1;-0.004524155760219745;0.00036354823073194375
2021-05-25;Lateral;1;-0.002010454362685967;0.0009650180940892642
2021-05-26;Lateral;1;0.0011268512556342563;0.0014890534449452672
2021-05-27;Lateral;1;-0.002410219329959026;0.001205109664979513
2021-05-28;Lateral;1;0.001842948717948718;0.0014022435897435897
2021-05-31;Lateral;1;-3.9685689340423844e-05;0.0011111993015318676
2021-06-01;Lateral;1;0.001954728488212987;0.00019547284882129873
2021-06-02;Lateral;1;0.001048625135932888;0.0004272176479726581
2021-06-04;Lateral;1;-0.004655457658420222;0.00026932399676811203
2021-06-07;Lateral;1;0.004048114735137636;0.0010023903153674146
2021-06-08;Lateral;1;0.0031133489641388323;0.0001921820348233847
