;range_dia_anterior;posicao_range_d1;distancia_mm20;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;pavio_superior_c1;pavio_superior_c2;pavio_superior_c3;pavio_superior_c4;pavio_superior_c5;pavio_superior_c6;pavio_superior_c7;pavio_inferior_c1;pavio_inferior_c2;pavio_inferior_c3;pavio_inferior_c4;pavio_inferior_c5;pavio_inferior_c6;pavio_inferior_c7;range_candle_c1;range_candle_c2;range_candle_c3;range_candle_c4;range_candle_c5;range_candle_c6;range_candle_c7;tamanho_medio_ordem_c1;tamanho_medio_ordem_c2;tamanho_medio_ordem_c3;tamanho_medio_ordem_c4;tamanho_medio_ordem_c5;tamanho_medio_ordem_c6;tamanho_medio_ordem_c7;correlacao_movel_WIN_WDO_c1;correlacao_movel_WIN_WDO_c2;correlacao_movel_WIN_WDO_c3;correlacao_movel_WIN_WDO_c4;correlacao_movel_WIN_WDO_c5;correlacao_movel_WIN_WDO_c6;correlacao_movel_WIN_WDO_c7;label_binario
2021-03-29;0.020881874532905437;0.48210526315789476;0.006984135374612635;1.0;6.123233995736766e-17;-0.3943558551133187;0.9189578116202306;0.0;1.0;0.0035870516185476813;0.0017093267882187938;0.0035209737013692675;0.0018361458424411997;0.00117519042437432;0.004080038196102261;0.0025625434329395414;0.002668416447944007;0.0005259467040673212;0.0010432514670723756;0.002404476698434904;0.0017410228509249185;0.0016493771431051695;0.002215079916608756;0.008223972003499563;0.010518934081346423;0.010258639426211693;0.008656116114365656;0.005701849836779108;0.006337080602456704;0.007600764419735928;2.9693010006819014;3.4065010792178088;3.5851291191005283;3.607420344510475;3.7060049126649184;3.57976252514555;3.788938210683615;0.36663624827059266;0.5417901869318292;0.6593142475727013;0.7025117274201703;0.6919933443758238;0.6652640842805371;0.691646138528649;1
2021-03-30;0.017716535433070866;0.8049382716049382;0.014378418527788827;1.0;6.123233995736766e-17;-0.20129852008866114;0.9795299412524943;0.7818314824680298;0.6234898018587336;0.002123050259965338;0.0016105863404866582;0.0014645072363886976;0.002922091874006274;0.0010269136964614265;0.0015002143163309043;0.000728425743422744;0.0017764298093587523;0.0011752927349497236;0.0007753273604410751;8.594387864724336e-05;0.0008985494844037482;0.0019288469781397343;0.001456851486845488;0.008492201039861352;0.013363513689983893;0.004565816678152998;0.007262257745692063;0.0036369860083008856;0.0038148306900985854;0.0038135230096837777;3.0029101227398707;3.41925971768432;3.6435498247073506;3.69410424526449;3.838313635478;3.9706580519398855;4.150574027819153;0.6271167887163688;0.5454463107321682;0.4543744539872625;0.3442968526729327;0.23294655642213485;-0.010817122699606892;-0.14161369995612108;1
2021-03-31;0.021880415944540727;0.8752475247524752;0.025088914129343196;1.0;6.123233995736766e-17;-2.4492935982947064e-16;1.0;0.9749279121818236;-0.22252093395631434;0.001625668449197861;0.0032982095433907307;0.001285512276642242;0.00038395904436860066;0.001717327837884252;0.0010751300907409797;0.002067094440377245;0.0010267379679144385;0.0022273622890430908;0.00132836268586365;0.0008532423208191126;0.0030053237162974413;0.001376166516148454;0.0009043538176650446;0.0038502673796791446;0.005868242953825067;0.007027467112310923;0.007551194539249147;0.006397046196118839;0.0038274631230378877;0.006330476723655312;2.8678653980081434;3.54863107070149;3.7068263801294368;3.6686368397426308;3.813480812832412;3.8147240525801527;3.894321401844798;-0.19336131506608295;-0.31131982297277555;-0.5019998501153967;-0.5420623124364728;-0.5628850665783449;-0.5571878358419291;-0.5250558266857076;1
2021-04-01;0.01227807486631016;0.8501742160278746;0.024989225953092973;0.8660254037844387;-0.4999999999999998;0.20791169081775931;0.9781476007338057;0.43388373911755823;-0.900968867902419;0.0032441200324412004;0.0010686500812174063;0.0010751300907409797;0.0006468584242528785;0.0010784694361761788;0.0015564875264819059;0.0019891031739168036;0.0037563495112477056;0.0011113960844661025;0.005160624435556703;0.004484885074819958;0.0031922695310814893;0.0034156254053352934;0.0010810343336504367;0.008409100610406796;0.008249978626998375;0.00903109276222423;0.005519858553624564;0.00651395539450412;0.005145055990315188;0.003329585747643345;3.235170610389207;3.5546570675894293;3.791267155783747;3.727487055152317;3.7822982818830666;3.7768374213153897;3.85350217857754;-0.43705475218261775;-0.4271505736117665;-0.39022473236799926;-0.2853419784440705;-0.19824000698039984;-0.10328451860670272;0.08010067855137558;0
2021-04-05;0.024202842873607376;0.32098765432098764;0.010899152773981962;0.8660254037844387;-0.4999999999999998;0.8660254037844386;0.5000000000000001;0.0;1.0;0.0014274591227614846;0.0015487201548720156;0.001455604075691412;0.00012810111447969597;0.0002985711239070164;0.0013692768506632434;0.0023483198838649077;8.651267410675664e-05;0.00043020004302000433;0.0003424950766332734;0.0012383107733037278;0.0028150991682661546;0.0012836970474967907;0.0011955083045130438;0.007007526602647288;0.006840180684018068;0.004366812227074236;0.0024766215466074555;0.006312646619748347;0.004792468977321353;0.006062934972887579;3.1811098734298726;3.9003728632572146;4.1443024052791815;3.994909938570166;4.199287728149577;4.1316675213466505;4.343198411424904;0.014816384689079592;-0.047152059130269236;-0.1243290397402056;-0.22092465408271486;-0.32135039859065706;-0.5030717062148288;-0.6416044792427942;1
2021-04-06;0.019465351674020245;0.76;0.024809852294223268;0.8660254037844387;-0.4999999999999998;0.9510565162951535;0.30901699437494745;0.7818314824680298;0.6234898018587336;8.525876033762469e-05;0.0021688284073995323;0.001190273762965482;0.0005081515985602372;0.0042491714115747425;0.0003396883359517643;0.0034840244731475186;0.0016199164464148692;0.002594088879438656;0.0037408603978915152;0.0009316112640271014;0.0004249171411574743;0.0026750456456201433;0.0006798096532970768;0.004135049876374797;0.005103125664469487;0.008799523890494813;0.0048274401863222524;0.005438939406815671;0.0036516496114814656;0.004503738953093134;3.180555152394775;3.623926150454671;3.978547597906317;3.9242088066391836;4.005378399281695;3.8607376949389507;4.071880674206603;-0.6963358944165627;-0.7198031735493076;-0.7610170065668972;-0.7944055950950598;-0.8356257936194836;-0.8617175538714943;-0.8610040234994502;0
2021-04-07;0.009890016199164464;0.4482758620689655;0.023759631474385336;0.8660254037844387;-0.4999999999999998;0.9945218953682733;0.10452846326765346;0.9749279121818236;-0.22252093395631434;0.0012327835402142493;0.0017480281389895545;0.0011869939378523888;0.001148105625717566;0.000983494398357992;0.0031785048313273437;0.001947089947089947;0.000595136881482741;0.0017480281389895545;0.000678282250201365;0.0021686439596887356;0.0008552125203112974;0.0009323614171893542;0.00033862433862433863;0.004761095051861928;0.009209123854188872;0.004875153673322311;0.008844665561083471;0.010775677755922346;0.005339888116629938;0.007153439153439153;3.16478111336387;3.612467240519105;3.849975067201029;3.81025468651347;3.9483363012465236;4.0598869386932765;4.11551672258841;-0.8183445090769904;-0.8090074805333785;-0.7597222145855344;-0.7053799595410062;-0.6380768097317822;-0.550520717061679;-0.47968052672872696;1
2021-04-08;0.015473558918551266;0.8598901098901099;0.02614279825570043;0.8660254037844387;-0.4999999999999998;0.9945218953682734;-0.10452846326765333;0.43388373911755823;-0.900968867902419;0.001479978011755254;0.0010603104589023667;0.00021200814111261874;0.001487778958554729;0.004939418246295436;0.0003801317790167258;0.0020323482089931407;0.0013108376675546535;0.002756807193146153;0.0013992537313432835;0.0018278427205100957;0.0007176932494617301;0.0005068423720223011;0.0010585146921839276;0.005793056788870566;0.004029179743828993;0.004112957937584804;0.010201912858660999;0.006079283995440537;0.003294475418144957;0.004953848759420781;3.046254303742923;3.4771085757698805;3.711820941845607;3.587004253773642;3.6240364747102687;4.011179536670314;4.295279205950508;-0.4064463176305551;-0.3400327400368763;-0.23361701054767983;-0.26762849471654093;-0.4168993817145406;-0.4546347087795692;-0.4798750499990777;1
2021-04-09;0.013615797708148336;0.391304347826087;0.022033373666882405;0.8660254037844387;-0.4999999999999998;0.9510565162951536;-0.30901699437494734;-0.433883739117558;-0.9009688679024191;0.0007200948830904778;0.0011470813153199083;0.0008489685032685287;0.0008885127988153162;0.0;8.437750495717842e-05;0.0035236680110379962;0.0020332090816672314;0.00412099583651967;0.000976313778758808;0.0027078485297228685;0.003077831183067712;0.0003796987723073029;0.0028019528762470813;0.005718400542189088;0.006160251508199507;0.005093811019611172;0.00710810239052253;0.0037102622480816258;0.006708011644095684;0.00666525153895139;3.013468692008632;3.488818154448679;3.6415027132566995;3.7283269455669674;3.718729186838526;3.8253685882365236;3.8964724357474836;-0.545828153714434;-0.5241501138759982;-0.418209098604951;-0.21856963774913957;-0.0869282536404377;-0.12055962735180722;-0.1638300821161411;1
2021-04-12;0.012622839715350729;0.18120805369127516;0.015740848821273707;0.8660254037844387;-0.4999999999999998;0.5877852522924732;-0.8090169943749473;0.0;1.0;0.000978931687593105;0.0021181952976064393;0.000929957306505474;0.0018994554894263644;0.001435689553247192;0.00016884761502743774;0.0005893744211501221;0.0003830602255799106;0.0014403728023723787;0.0004227078665933973;0.0014351441475665865;0.0011401064099315936;0.000675390460109751;0.00294687210575061;0.0060012768674185995;0.005803855115441643;0.0027898719195164224;0.0036722806128909715;0.0029136052698251836;0.0035457999155761926;0.004925486233897449;3.2012450923085676;3.5995032907311932;3.801060536705982;3.829004506163577;3.7856077628203852;3.8808194068344735;3.974728308806938;-0.3652774378609965;-0.3414419283090613;-0.26572957324494334;-0.15981732576896943;-0.061089477185140725;0.06222998880741487;0.13551243274953498;1
