datetime;label;cluster;retorno_total;pavio_contra
2025-06-06;Venda;1;-0.006372906045156591;0.0010924981791697013
2025-06-09;Lateral;0;0.00479304451214981;0.00022293230289068886
2025-06-10;Lateral;0;0.0003277733265350717;0.001056158496613009
2025-06-11;Indefinido;-1;-0.000986013219880948;0.0036519008143738817
2025-06-12;Lateral;0;0.0012397899649941658;0.0003281796966161027
2025-06-13;Lateral;0;-0.000800931993592544;0.001128585990971312
2025-06-16;Lateral;0;0.0031166039763567974;0.0013612753000179115
2025-06-17;Lateral;5;-0.003946754691256145;0.0005023142334326002
2025-06-18;Lateral;0;0.004605845881310895;3.54295837023915e-05
2025-06-20;Venda;1;-0.00538439594922265;0.0012123805448580802
2025-06-23;Lateral;0;0.0012593098981757997;0.001223329615370777
2025-06-24;Indefinido;-1;0.007145165344152813;0.00021543212092923054
2025-06-25;Lateral;0;0.0002887982383307462;0.0016966896501931338
2025-06-26;Lateral;0;0.0033117350611951042;0.0007199424046076314
2025-06-27;Lateral;0;0.00014378145219266715;0.001509705248023005
2025-06-30;Lateral;0;0.00010700527892709374;0.001747752889142531
2025-07-01;Lateral;0;-0.00024764735017335313;0.0008844548220476898
2025-07-02;Lateral;2;0.0006397043144502096;0.002061269457672898
2025-07-03;Lateral;4;-0.0018533412595726825;0.0021680595866699305
2025-07-04;Lateral;0;0.0015037593984962407;3.497114880223815e-05
2025-07-07;Lateral;3;-0.0023493933655936603;0.00010519671786240269
2025-07-08;Lateral;0;-0.0008147360963513992;0.0013106624158696423
2025-07-09;Lateral;0;-0.0014638152022564176;0.0011067871041450961
2025-07-10;Lateral;0;0.0016308484035806182;0.001703330554850868
2025-07-11;Lateral;0;0.0022210085563444384;0.0012743491716730383
2025-07-14;Lateral;5;-0.004744179256988541;0.00010948105977665864
2025-07-15;Lateral;0;-0.0010269199735934865;0.0006234871268246167
2025-07-16;Lateral;4;-0.00209412542709137;0.0020573863845108195
2025-07-17;Lateral;0;0.0033715688789533477;0.0013926045369589914
2025-07-18;Indefinido;-1;-0.0015801852124062914;0.00235190357195355
2025-07-21;Lateral;0;0.0026609505506689332;0.0012565599822603297
2025-07-22;Lateral;0;0.0004409981257579655;0.0015434934401528794
2025-07-23;Lateral;0;0.0038377799918816193;0.00011070519207350825
2025-07-24;Lateral;0;0.003938324354449192;0.0004830020434701839
2025-07-25;Lateral;0;0.0001487375897073588;0.0009296099356709925
2025-07-28;Lateral;0;0.0006003527072154891;0.0012757495028329143
2025-07-29;Lateral;0;0.0029300176552345893;0.00026295030239284776
2025-07-30;Indefinido;-1;-0.0035641929916710438;0.0011255346289487506
2025-07-31;Lateral;0;-0.0016497937757780278;0.0010873640794900638
2025-08-01;Indefinido;-1;-0.00041076963292131894;0.0036595840023899325
2025-08-04;Lateral;0;0.0033706602748960713;0.00044942136998614283
2025-08-05;Indefinido;-1;-0.00663758063914681;0.0013797218182496178
2025-08-06;Lateral;3;-0.003766339265933092;0.00011077468429214977
2025-08-07;Lateral;2;0.0004771692849801791;0.0025693730729701952
2025-08-08;Lateral;0;0.004085388295914612;0.0004048582995951417
2025-08-11;Lateral;0;0.001289134438305709;0.0016574585635359116
2025-08-12;Lateral;0;0.001851851851851852;0.0010167029774872912
2025-08-13;Lateral;0;-0.0014963126580925575;0.0011400477394990915
2025-08-14;Indefinido;-1;0.0072128323823877705;0.0007176947644166936
2025-08-15;Lateral;0;-0.0003952711200546193;0.0017248194329656113
2025-08-18;Indefinido;-1;0.006056045294918656;0.0
2025-08-19;Lateral;3;-0.0032627610208816704;0.00021751740139211136
2025-08-20;Lateral;0;-0.0019324023772195281;0.0012761147774091224
2025-08-21;Lateral;0;-0.0015698014018691588;0.001679322429906542
2025-08-22;Indefinido;-1;0.013649035154411498;0.0
2025-08-25;Lateral;0;0.002271194861421626;0.0015969338869370809
2025-08-26;Lateral;5;-0.0049501424501424505;0.00021367521367521368
2025-08-27;Lateral;0;0.0005716123039548426;0.0013933049908899289
2025-08-28;Lateral;0;0.003723552338530067;0.00010439866369710468
2025-08-29;Lateral;0;0.0015277777777777779;0.0004166666666666667
2025-09-01;Indefinido;-1;-0.0024660484179083743;0.0006599284498628044
2025-09-02;Lateral;0;0.0003501891021151422;0.0005603025633842274
