;gap;range_dia_anterior;atr_dia_anterior;posicao_range_d1;distancia_mm20;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;mov_direcional_c1;pavio_superior_c1;pavio_inferior_c1;range_candle_c1;volume_real_norm_c1;tamanho_medio_ordem_c1;diferenca_MA_c1;mov_direcional_c2;pavio_superior_c2;pavio_inferior_c2;range_candle_c2;volume_real_norm_c2;tamanho_medio_ordem_c2;diferenca_MA_c2;label_Compra;label_Lateral;label_Venda
2021-03-29;-0.002574283345695711;0.020881874532905437;2674.285714285714;0.48210526315789476;0.006984135374612635;1.0;6.123233995736766e-17;-0.3943558551133187;0.9189578116202306;0.0;1.0;-1.0;0.0035870516185476813;0.002668416447944007;0.008223972003499563;0.9464735942709284;2.9693010006819014;-0.0009301872549735656;1.0;0.0017093267882187938;0.0005259467040673212;0.010518934081346423;1.671223238499489;3.4065010792178088;-0.0005699244125673725;False;True;False
2021-03-30;-0.0018164518640256034;0.017716535433070866;2539.285714285714;0.8049382716049382;0.014378418527788827;1.0;6.123233995736766e-17;-0.20129852008866114;0.9795299412524943;0.7818314824680298;0.6234898018587336;-1.0;0.002123050259965338;0.0017764298093587523;0.008492201039861352;0.937079548356903;3.0029101227398707;0.00202644535368487;1.0;0.0016105863404866582;0.0011752927349497236;0.013363513689983893;1.7123465854529405;3.41925971768432;0.003350179952523178;True;False;False
2021-03-31;-0.0009402914903620122;0.021880415944540727;2483.5714285714284;0.8752475247524752;0.025088914129343196;1.0;6.123233995736766e-17;-2.4492935982947064e-16;1.0;0.9749279121818236;-0.22252093395631434;-1.0;0.001625668449197861;0.0010267379679144385;0.0038502673796791446;0.6905744546120002;2.8678653980081434;0.0016752092821822715;-1.0;0.0032982095433907307;0.0022273622890430908;0.005868242953825067;1.509004139711655;3.54863107070149;0.00045229049428199895;True;False;False
2021-04-01;0.004329932264425963;0.01227807486631016;2423.9285714285716;0.8501742160278746;0.024989225953092973;0.8660254037844387;-0.4999999999999998;0.20791169081775931;0.9781476007338057;0.43388373911755823;-0.900968867902419;-1.0;0.0032441200324412004;0.0037563495112477056;0.008409100610406796;0.9164000977469696;3.235170610389207;0.0011731403113809827;-1.0;0.0010686500812174063;0.0011113960844661025;0.008249978626998375;1.4884158493821846;3.5546570675894293;0.0005447560066517158;False;False;True
2021-04-05;0.007408052989367265;0.024202842873607376;2532.5;0.32098765432098764;0.010899152773981962;0.8660254037844387;-0.4999999999999998;0.8660254037844386;0.5000000000000001;0.0;1.0;1.0;0.0014274591227614846;8.651267410675664e-05;0.007007526602647288;0.8426078452694131;3.1811098734298726;-0.0026959202695921104;1.0;0.0015487201548720156;0.00043020004302000433;0.006840180684018068;1.4093070392744738;3.9003728632572146;0.0015222003405922294;True;False;False
2021-04-06;-0.0026360544217687073;0.019465351674020245;2630.0;0.76;0.024809852294223268;0.8660254037844387;-0.4999999999999998;0.9510565162951535;0.30901699437494745;0.7818314824680298;0.6234898018587336;1.0;8.525876033762469e-05;0.0016199164464148692;0.004135049876374797;0.9170389814250334;3.180555152394775;0.00301934935147778;1.0;0.0021688284073995323;0.002594088879438656;0.005103125664469487;1.699245232412198;3.623926150454671;0.002139749748473167;False;True;False
2021-04-07;-0.001485631817988879;0.009890016199164464;2579.285714285714;0.4482758620689655;0.023759631474385336;0.8660254037844387;-0.4999999999999998;0.9945218953682733;0.10452846326765346;0.9749279121818236;-0.22252093395631434;-1.0;0.0012327835402142493;0.000595136881482741;0.004761095051861928;0.9650146875009089;3.16478111336387;-0.0014069494777233;1.0;0.0017480281389895545;0.0017480281389895545;0.009209123854188872;1.6442518138365423;3.612467240519105;-0.0003108793646755434;False;False;True
2021-04-08;0.0021187338446544343;0.015473558918551266;2437.5;0.8598901098901099;0.02614279825570043;0.8660254037844387;-0.4999999999999998;0.9945218953682734;-0.10452846326765333;0.43388373911755823;-0.900968867902419;-1.0;0.001479978011755254;0.0013108376675546535;0.005793056788870566;0.7619792788711819;3.046254303742923;0.0007068736392683266;1.0;0.0010603104589023667;0.002756807193146153;0.004029179743828993;1.4069196774401174;3.4771085757698805;0.0017668094248681548;False;False;True
2021-04-09;-0.0017758985200845665;0.013615797708148336;2329.285714285714;0.391304347826087;0.022033373666882405;0.8660254037844387;-0.4999999999999998;0.9510565162951536;-0.30901699437494734;-0.433883739117558;-0.9009688679024191;-1.0;0.0007200948830904778;0.0020332090816672314;0.005718400542189088;0.775260858028121;3.013468692008632;-0.00013689447795997532;1.0;0.0011470813153199083;0.00412099583651967;0.006160251508199507;1.4487228315584513;3.488818154448679;-0.0016507020199875884;True;False;False
2021-04-12;-0.0027589134125636672;0.012622839715350729;2301.0714285714284;0.18120805369127516;0.015740848821273707;0.8660254037844387;-0.4999999999999998;0.5877852522924732;-0.8090169943749473;0.0;1.0;1.0;0.000978931687593105;0.0003830602255799106;0.0060012768674185995;0.6802596324199616;3.2012450923085676;-0.001275678321941722;1.0;0.0021181952976064393;0.0014403728023723787;0.005803855115441643;1.5143656637003386;3.5995032907311932;-0.0004555658879777708;True;False;False
2021-04-13;-0.004717179800362212;0.012938923175143648;2227.8571428571427;0.4769736842105263;0.019608181545570848;0.8660254037844387;-0.4999999999999998;0.40673664307580004;-0.913545457642601;0.7818314824680298;0.6234898018587336;1.0;0.0007617113114129745;0.002327451229317422;0.006601498032245779;0.9521564069719711;3.229613709524711;0.0011104551460459772;-1.0;0.0013494138483596187;0.002825335245002952;0.006578392510753142;1.7560159218362543;3.738561025465315;-0.00033346953920152623;True;False;False
2021-04-14;0.00403327451474666;0.014260928441454022;2155.0;0.9554896142433235;0.029347472611250976;0.8660254037844387;-0.4999999999999998;0.20791169081775931;-0.9781476007338057;0.9749279121818236;-0.22252093395631434;1.0;0.0026362038664323375;0.0;0.004435517616536949;0.7143822153495448;3.257675191863251;0.0014015937327411638;1.0;0.0006683375104427736;0.0006265664160401002;0.008771929824561403;1.4824378194060526;3.8023723304997654;0.0032846395879689;True;False;False
2021-04-15;0.0014483757500517278;0.015733534186961252;2086.785714285714;0.8031914893617021;0.039407280146032425;0.8660254037844387;-0.4999999999999998;5.66553889764798e-16;-1.0;0.43388373911755823;-0.900968867902419;1.0;0.0007024793388429752;0.0019834710743801653;0.004049586776859504;0.9881417907455874;3.236852676093297;0.00011921301072465257;1.0;0.002228458237041928;0.0009904258831297458;0.006932981181908221;1.6972938642330566;3.7875520609274003;0.0016034865553819586;False;False;True
2021-04-16;-0.0004123711340206186;0.011074380165289256;1947.857142857143;0.4925373134328358;0.039054563224155445;0.8660254037844387;-0.4999999999999998;-0.20791169081775907;-0.9781476007338057;-0.433883739117558;-0.9009688679024191;-1.0;0.0017326732673267327;0.0007425742574257426;0.004372937293729373;0.9055461260748019;3.191298958055036;-0.0004592506865797096;-1.0;0.004091754494730316;0.00045463938830336847;0.006736929117586278;1.9648626513103273;3.9098356484412817;-0.0007087694106167465;True;False;False
2021-04-19;-0.000986679822397632;0.01023102310231023;1866.7857142857142;0.7096774193548387;0.038812248579648684;0.8660254037844387;-0.4999999999999998;-0.743144825477394;-0.6691306063588585;0.0;1.0;1.0;0.0032510288065843622;0.0002880658436213992;0.0037860082304526747;0.7789460731945175;3.2615013710918785;0.0013851175292795444;-1.0;0.001439914427942568;0.0018101781379849427;0.0040317603982391904;1.6775972237516152;3.6036398349131855;0.0005398184746011366;False;True;False
2021-04-20;-0.003667229799332482;0.011728395061728396;1823.9285714285713;-0.10526315789473684;0.03126859258279897;0.8660254037844387;-0.4999999999999998;-0.8660254037844385;-0.5000000000000004;0.7818314824680298;0.6234898018587336;1.0;0.0013234077750206782;0.0008684863523573201;0.003349875930521092;0.7486236803182155;3.2331681065004956;-0.0028594771241829933;-1.0;0.005989755452742895;0.0015697290152015863;0.008509583608724388;2.1361759322020197;3.9626022233545957;-0.003905083499873753;True;False;False
2021-04-22;0.004198885840192899;0.01248966087675765;1751.4285714285713;0.3443708609271523;0.028075768183917243;0.8660254037844387;-0.4999999999999998;-0.9945218953682733;-0.10452846326765423;0.43388373911755823;-0.900968867902419;1.0;0.00016559718484785758;0.0025667563651417926;0.005878700062098945;0.8703551462876108;3.1003061218022525;-0.0003622540455523132;-1.0;0.0024760647078243643;0.00041267745130406077;0.0101931330472103;1.9017662527869623;3.6920425258818255;-0.000540428185408439;False;True;False
2021-04-23;0.0037004698349340985;0.015276340302214862;1780.7142857142858;0.5880758807588076;0.02436147144815178;0.8660254037844387;-0.4999999999999998;-0.9945218953682734;0.10452846326765299;-0.433883739117558;-0.9009688679024191;-1.0;0.0013670256835128418;0.001284175642087821;0.003686826843413422;0.8003699945469056;2.897712261739868;-0.0010366991499066972;1.0;0.0033174372797014308;0.001451378809869376;0.007547169811320755;1.7713847496472142;3.460215238331368;0.001594390685450178;False;False;True
2021-04-26;0.001979871308364956;0.008367854183927092;1653.5714285714287;1.1485148514851484;0.02670090130070477;0.8660254037844387;-0.4999999999999998;-0.743144825477394;0.6691306063588585;0.0;1.0;1.0;0.0010291453976617817;0.002305285690762391;0.003416762720237115;0.7845721107766902;2.9560162037726534;0.0026389689269411994;-1.0;0.002263840296357275;0.002675447622967689;0.00543321671125746;1.7158970157131128;3.404228975773088;0.0034958155453975043;False;False;True
2021-04-27;8.244702778464837e-05;0.013214226905977277;1547.5;0.719626168224299;0.021990058134636448;0.8660254037844387;-0.4999999999999998;-0.5877852522924734;0.8090169943749473;0.7818314824680298;0.6234898018587336;-1.0;0.001030502885408079;0.0011129431162407255;0.0036685902720527616;0.623984231355119;3.110174453322303;0.0005963111276244357;1.0;0.0005366800148619081;0.0033439293233703503;0.00598604631961359;1.91024214599166;3.889298350946938;0.0015151099026850994;False;False;True
2021-04-28;0.0034395973154362418;0.019620774938169827;1634.642857142857;0.18907563025210083;0.00580010553290966;0.8660254037844387;-0.4999999999999998;-0.40673664307580015;0.913545457642601;0.9749279121818236;-0.22252093395631434;1.0;0.0001672100994900092;0.000710642922832539;0.006772009029345372;1.0091897713038191;3.2522536608610353;-0.003306136207270756;1.0;0.0006233377659574468;0.0002908909574468085;0.003740026595744681;1.2064173701528178;3.8038423433747006;-0.0002117980735584454;True;False;False
2021-04-29;-0.0020908494588389634;0.020608644762143632;1703.9285714285713;0.8843813387423936;0.020691853041507408;0.8660254037844387;-0.4999999999999998;-0.20791169081775898;0.9781476007338057;0.43388373911755823;-0.900968867902419;-1.0;0.002834723306355532;0.0003697465182202868;0.0035331333963271845;0.8983531389141047;3.0685700550401904;0.0033607766316433693;-1.0;0.0018904368552993876;0.00016438581350429457;0.0060000821929067525;1.7607585130217054;3.825467360543282;0.0022325828737512683;False;False;True
2021-04-30;-0.0019124433542593439;0.016186680908754775;1729.642857142857;-0.02284263959390863;0.005303523608322323;0.8660254037844387;-0.4999999999999998;-1.133107779529596e-15;1.0;-0.433883739117558;-0.9009688679024191;-1.0;0.0004998542091889865;0.0017078352147290373;0.005165160161619528;1.1022363279581073;3.2129455264036686;-0.00298481134878191;1.0;0.0015040735324838104;0.0027156883225402132;0.009316899937330269;1.9296224626243452;3.882772849770846;-0.0025402631712644758;False;False;True
2021-05-03;0.00625761202805426;0.013621027200399883;1740.0;0.5474006116207951;0.002317545577001916;0.49999999999999994;-0.8660254037844387;0.5712682150947923;0.8207634412072763;0.0;1.0;-1.0;0.001043405676126878;0.0014190317195325543;0.0033806343906510852;0.6792342843860537;3.2027275126029413;-0.003402307813704015;-1.0;0.002088729217144289;0.0018798562954298605;0.0068092572478903836;1.9365829955566847;3.6066063402571924;-0.0024018991760927652;True;False;False
2021-05-04;-0.002217109391340724;0.012687813021702838;1740.0;0.29276315789473684;-0.004193725485284386;0.49999999999999994;-0.8660254037844387;0.72479278722912;0.6889669190756866;0.7818314824680298;0.6234898018587336;1.0;0.000335401643468053;0.002641287942310917;0.004066744927050142;0.9820744818400833;3.16597982042702;0.0003071167322778873;-1.0;0.0025965323728955525;0.0008375910880308234;0.009213501968339057;2.0570768110895936;3.822265412773879;-0.0015117476364316595;False;False;True
2021-05-05;0.004400067693349129;0.014967298339761865;1747.142857142857;0.43977591036414565;-0.009109596902945749;0.49999999999999994;-0.8660254037844387;0.8486442574947509;0.5289640103269624;0.9749279121818236;-0.22252093395631434;1.0;0.0010530749789385003;0.0019376579612468408;0.0038331929233361415;0.8050292396468686;3.191873400762143;-0.0008651328095772812;1.0;0.0008417508417508417;0.0021885521885521885;0.005892255892255892;1.7632067064451842;3.6908429931424607;0.001860556208382336;True;False;False
