;gap;range_dia_anterior;atr_dia_anterior;posicao_range_d1;distancia_mm20;gap_dolar;range_dia_anterior_dolar;atr_dia_anterior_dolar;posicao_range_d1_dolar;distancia_mm20_dolar;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;mag_decisao_c1;mag_decisao_c2;mov_direcional_c1;mov_direcional_c2;pavio_superior_c1;pavio_superior_c2;pavio_inferior_c1;pavio_inferior_c2;range_candle_c1;range_candle_c2;volume_real_norm_c1;volume_real_norm_c2;volume_tick_norm_c1;volume_tick_norm_c2;tamanho_medio_ordem_c1;tamanho_medio_ordem_c2;diferenca_MA_c1;diferenca_MA_c2;RSI_c1;RSI_c2;MACD_c1;MACD_c2;mag_decisao_dolar_c1;mag_decisao_dolar_c2;mov_direcional_dolar_c1;mov_direcional_dolar_c2;pavio_superior_dolar_c1;pavio_superior_dolar_c2;pavio_inferior_dolar_c1;pavio_inferior_dolar_c2;range_candle_dolar_c1;range_candle_dolar_c2;volume_real_norm_dolar_c1;volume_real_norm_dolar_c2;volume_tick_norm_dolar_c1;volume_tick_norm_dolar_c2;tamanho_medio_ordem_dolar_c1;tamanho_medio_ordem_dolar_c2;diferenca_MA_dolar_c1;diferenca_MA_dolar_c2;RSI_dolar_c1;RSI_dolar_c2;MACD_dolar_c1;MACD_dolar_c2;correlacao_movel_WIN_WDO_c1;correlacao_movel_WIN_WDO_c2;ratio_vol_WIN_WDO_c1;ratio_vol_WIN_WDO_c2;label_Compra;label_Lateral;label_Venda
2021-03-29;-0.002574283345695711;0.020881874532905437;2674.285714285714;0.48210526315789476;0.006984135374612635;0.0017370158068438423;0.020074283692960736;105.35714285714286;1.0704845814977975;0.02283509954329801;1.0;6.123233995736766e-17;-0.3943558551133187;0.9189578116202306;0.0;1.0;0.001968503937007874;0.00828366058906031;-1;1;0.0035870516185476813;0.0017093267882187938;0.002668416447944007;0.0005259467040673212;0.008223972003499563;0.010518934081346423;0.9464735942709284;1.671223238499489;1.138164508675581;1.7483963036127552;2.9693010006819014;3.4065010792178088;-0.0009301872549735656;-0.0005699244125673725;49.71343817944391;56.58718250110471;92.74249770830471;112.08095833796983;0.0036414080110976246;0.0003455126544009674;1.0;-1.0;0.0014739032425871337;0.002504966744407014;0.001387203051846714;0.0007774034724021767;0.0065025143055314726;0.003627882871210158;1.395378786207505;1.1723356622490226;1.5416589962379859;1.342391501509714;2.8993662762714583;2.7871411588158486;0.0046648237733241185;0.005424503393915077;75.05101681391466;74.56818342701142;5.4687609524415635;5.443994568772794;0.36663624827059266;0.5417901869318292;3.493819279894231;7.393920747355098;False;True;False
2021-03-30;-0.0018164518640256034;0.017716535433070866;2539.285714285714;0.8049382716049382;0.014378418527788827;0.00017292062943109114;0.012051326512918329;102.57142857142857;0.6762589928057554;0.024619022944982596;1.0;6.123233995736766e-17;-0.20129852008866114;0.9795299412524943;0.7818314824680298;0.6234898018587336;0.0045927209705372615;0.010577634614547513;-1;1;0.002123050259965338;0.0016105863404866582;0.0017764298093587523;0.0011752927349497236;0.008492201039861352;0.013363513689983893;0.937079548356903;1.7123465854529405;1.1169244643899803;1.7873853477899835;3.0029101227398707;3.41925971768432;0.00202644535368487;0.003350179952523178;52.51996510790376;60.39012631248628;54.89048354567916;100.6484863386849;0.0013831258644536654;0.0012984764542936288;-1.0;-1.0;0.0015560165975103733;0.0012984764542936288;0.003284923928077455;0.001644736842105263;0.006224066390041493;0.004241689750692521;1.5339474383000626;1.2051993871131317;1.8915935820991037;1.3671494352509301;2.586318484571292;2.802421777221527;-0.00019236688211745216;0.0002696637870426725;62.02153419640501;60.003480400351094;-4.650726504824895;-5.705633149347712;0.6271167887163688;0.5454463107321682;3.2351208831051577;7.550420139920103;True;False;False
2021-03-31;-0.0009402914903620122;0.021880415944540727;2483.5714285714284;0.8752475247524752;0.025088914129343196;-0.00017319016279875303;0.014177040110650069;96.28571428571429;0.6219512195121951;0.021873907521561896;1.0;6.123233995736766e-17;-2.4492935982947064e-16;1.0;0.9749279121818236;-0.22252093395631434;0.0011978609625668448;0.0003426711213912448;-1;-1;0.001625668449197861;0.0032982095433907307;0.0010267379679144385;0.0022273622890430908;0.0038502673796791446;0.005868242953825067;0.6905744546120002;1.509004139711655;0.8683672000857486;1.531502090319121;2.8678653980081434;3.54863107070149;0.0016752092821822715;0.00045229049428199895;61.67540524957492;61.1030729373121;96.00160337257887;57.55119760003447;0.0015589814654425776;0.0036436193285330092;-1.0;-1.0;0.0008661008141347653;0.002255573870044244;0.004850164559154686;0.00026025852346664354;0.007275246838732028;0.006159451722043897;1.3707611646008204;0.9912279775663874;1.677856899818885;1.0902517930338507;2.5922531307154664;2.8760118083992;0.0014746703678001388;0.0010254921878780315;57.04421723525274;50.754287036091874;-6.561859053653556;-7.437027332166547;-0.19336131506608295;-0.31131982297277555;2.6831966549608954;8.152425968235047;True;False;False
2021-04-01;0.004329932264425963;0.01227807486631016;2423.9285714285716;0.8501742160278746;0.024989225953092973;-0.0010636411983690835;0.025549974016975577;96.35714285714286;0.030508474576271188;-0.0027210583368360505;0.8660254037844387;-0.4999999999999998;0.20791169081775931;0.9781476007338057;0.43388373911755823;-0.900968867902419;0.0014086310667178897;0.0060699324613148675;-1;-1;0.0032441200324412004;0.0010686500812174063;0.0037563495112477056;0.0011113960844661025;0.008409100610406796;0.008249978626998375;0.9164000977469696;1.4884158493821846;1.0227427336881765;1.510346664137156;3.235170610389207;3.5546570675894293;0.0011731403113809827;0.0005447560066517158;60.487061713612135;51.67016700672976;-69.0073467166186;-99.96317157878957;0.007985803016858917;0.00466508229909339;1.0;1.0;0.0022182786157941437;0.0016723879940146113;0.0032830523513753328;0.0018484288354898336;0.013487133984028394;0.008185899128597835;1.763061644865641;1.3230291522737088;1.990468284888527;1.4454398263848838;2.7785170399940857;2.8575912516624795;-0.003188575899843541;0.0015478067869866884;45.217906013282814;50.365934879003134;-11.709992229101694;-6.975313630629472;-0.43705475218261775;-0.4271505736117665;2.770845690943665;6.017739790208777;False;False;True
2021-04-05;0.007408052989367265;0.024202842873607376;2532.5;0.32098765432098764;0.010899152773981962;-0.0069948413045379035;0.021384205856255546;101.82142857142857;0.5145228215767634;0.004590848378165574;0.8660254037844387;-0.4999999999999998;0.8660254037844386;0.5000000000000001;0.0;1.0;0.005493554805779046;0.004861260486126048;1;1;0.0014274591227614846;0.0015487201548720156;8.651267410675664e-05;0.00043020004302000433;0.007007526602647288;0.006840180684018068;0.8426078452694131;1.4093070392744738;0.9631766602127306;1.3143164370023448;3.1811098734298726;3.9003728632572146;-0.0026959202695921104;0.0015222003405922294;53.46198614982618;58.14966389896217;-162.97426450315848;-64.34092346025292;0.0011446684863960553;0.004221635883905013;1.0;-1.0;0.001320771330456987;0.0007036059806508355;0.002641542660913974;0.002814423922603342;0.0051069824777670155;0.007739665787159191;1.3257418580381923;1.4436004993575329;1.6985571927427576;1.5792483802569193;2.3922091982484632;2.787718589418935;0.0005081598749144567;-0.002237531649296248;45.191105319437305;40.63440566327465;2.568064678643556;-0.3502281895158905;0.014816384689079592;-0.047152059130269236;3.563859962001721;5.4578930071057785;True;False;False
2021-04-06;-0.0026360544217687073;0.019465351674020245;2630.0;0.76;0.024809852294223268;0.0005289139633286319;0.008893193625077045;98.42857142857143;0.6534653465346535;0.004193725337532925;0.8660254037844387;-0.4999999999999998;0.9510565162951535;0.30901699437494745;0.7818314824680298;0.6234898018587336;0.0024298746696223036;0.00034020837763129916;1;1;8.525876033762469e-05;0.0021688284073995323;0.0016199164464148692;0.002594088879438656;0.004135049876374797;0.005103125664469487;0.9170389814250334;1.699245232412198;1.0652931548768876;1.7311699277856465;3.180555152394775;3.623926150454671;0.00301934935147778;0.002139749748473167;62.47012098698178;62.83917697285199;135.2268234581406;121.06685705457198;0.0033480176211453743;0.001768033946251768;-1.0;-1.0;0.0006167400881057269;0.0014144271570014145;0.002555066079295154;0.0002652050919377652;0.006519823788546255;0.003447666195190948;1.7521239850670045;1.2171093180226626;2.0433308607018628;1.3015529146266513;2.584983535165139;2.8062299110706923;0.0003732516108752482;-0.001781005234777835;40.85414687810249;38.665212640083965;-1.2643933975840103;-2.3824355257382717;-0.6963358944165627;-0.7198031735493076;3.026114604604276;8.133525798495407;False;True;False
2021-04-07;-0.001485631817988879;0.009890016199164464;2579.285714285714;0.4482758620689655;0.023759631474385336;-0.000446468434681668;0.01682819383259912;99.75;0.14659685863874344;-0.007122393408016398;0.8660254037844387;-0.4999999999999998;0.9945218953682733;0.10452846326765346;0.9749279121818236;-0.22252093395631434;0.002933174630164938;0.0057130675762097636;-1;1;0.0012327835402142493;0.0017480281389895545;0.000595136881482741;0.0017480281389895545;0.004761095051861928;0.009209123854188872;0.9650146875009089;1.6442518138365423;1.1415431816525032;1.7035138552434175;3.16478111336387;3.612467240519105;-0.0014069494777233;-0.0003108793646755434;52.417874892361596;59.68629366129562;-44.597606933086354;-27.94704643712032;0.001429337144899053;0.0030332768311178517;1.0;-1.0;0.0016080042880114347;0.0007137121955571416;0.002948007861354297;0.0024087786600053528;0.0059853492942647845;0.006155767686680346;1.9587208840070474;1.565021518039375;2.1720480650740557;1.727682242163575;2.7150872531448313;2.7189047690068553;-0.0021805927247497995;-0.002306736266467937;32.08172807030203;28.333851281890322;-4.3379835727619;-4.509271591853018;-0.8183445090769904;-0.8090074805333785;2.8077847499407587;5.957675080200956;False;False;True
2021-04-08;0.0021187338446544343;0.015473558918551266;2437.5;0.8598901098901099;0.02614279825570043;-0.0018665007554884011;0.019028050741468645;99.28571428571429;0.5492957746478874;-0.0023143109705446646;0.8660254037844387;-0.4999999999999998;0.9945218953682734;-0.10452846326765333;0.43388373911755823;-0.900968867902419;0.003002241109560658;0.00021206209178047333;-1;1;0.001479978011755254;0.0010603104589023667;0.0013108376675546535;0.002756807193146153;0.005793056788870566;0.004029179743828993;0.7619792788711819;1.4069196774401174;0.9466264229242323;1.5259451653544667;3.046254303742923;3.4771085757698805;0.0007068736392683266;0.0017668094248681548;55.30250657326403;55.548569296825924;-32.2568051857254;-28.26774689821923;0.002226179875333927;0.0024986614313760487;-1.0;-1.0;0.001157613535173642;0.000892379082634303;0.0018699910952804987;0.0018739960735320363;0.005253784505788068;0.005265036587542388;1.6626590486914605;1.474074805175169;1.9537150958217115;1.6200151617318308;2.553926014374194;2.7228178301673327;0.0025881302989736723;-0.0012822806703642977;42.65210030015668;40.14850230832915;4.452883694000086;2.4118278204537944;-0.4064463176305551;-0.3400327400368763;2.5482784157320415;5.252291236317876;False;False;True
2021-04-09;-0.0017758985200845665;0.013615797708148336;2329.285714285714;0.391304347826087;0.022033373666882405;0.00475038092677243;0.014069456812110418;97.39285714285714;0.7468354430379747;-0.0032055699556732607;0.8660254037844387;-0.4999999999999998;0.9510565162951536;-0.30901699437494734;-0.433883739117558;-0.9009688679024191;0.002965096577431379;0.0008921743563599286;-1;1;0.0007200948830904778;0.0011470813153199083;0.0020332090816672314;0.00412099583651967;0.005718400542189088;0.006160251508199507;0.775260858028121;1.4487228315584513;0.974281403959702;1.568478466793844;3.013468692008632;3.488818154448679;-0.00013689447795997532;-0.0016507020199875884;49.16622150933598;50.45488561538677;-38.60524329342769;-60.2135514724921;0.00544157002676182;0.0015082956259426848;1.0;1.0;0.0026761819803746653;0.0016857421701712359;0.0008920606601248885;0.0015082956259426848;0.009009812667261374;0.004702333422056605;1.6448194186037912;1.4150898811019537;1.7868517874303937;1.475191489810038;2.72556081959618;2.83351882822776;0.002789854000926737;0.005394125521694604;55.65600759269911;57.27061049835199;4.014154871212277;7.226818112544112;-0.545828153714434;-0.5241501138759982;2.6238014293286542;5.6957392062341805;True;False;False
2021-04-12;-0.0027589134125636672;0.012622839715350729;2301.0714285714284;0.18120805369127516;0.015740848821273707;-0.0022819027558364053;0.017305976806422835;97.75;0.865979381443299;0.009456999511610354;0.8660254037844387;-0.4999999999999998;0.5877852522924732;-0.8090169943749473;0.0;1.0;0.004639284954245584;0.002245287015462826;1;1;0.000978931687593105;0.0021181952976064393;0.0003830602255799106;0.0014403728023723787;0.0060012768674185995;0.005803855115441643;0.6802596324199616;1.5143656637003386;0.8038399899407213;1.589079586721424;3.2012450923085676;3.5995032907311932;-0.001275678321941722;-0.0004555658879777708;52.006481354973474;55.516183224186314;-70.63900146731893;-43.837853480930136;0.007213230119634061;0.000531632110579479;-1.0;1.0;0.0;0.001240474924685451;0.0009676284306826178;0.0006202374623427255;0.008180858550316679;0.0023923444976076554;1.6821369220145324;1.2112976539335132;1.8190749372534958;1.1672143607428986;2.7442198525643553;3.081411270691334;0.0011026443774982504;-0.0010036604085488787;51.02071608210863;51.70475408474101;8.08924065129083;5.165452595651419;-0.3652774378609965;-0.3414419283090613;2.2225189037189734;6.880492260596934;True;False;False
