"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2018.02.28	09:00:00	116977	117070	116749	116983	49114	155719	1"
"2018.02.28	10:00:00	116990	117123	116395	117050	103348	370482	1"
"2018.02.28	11:00:00	117050	117491	116676	117110	98677	388368	1"
"2018.02.28	12:00:00	117117	117137	115975	116148	93494	370870	1"
"2018.02.28	13:00:00	116142	116222	115654	116102	84650	341010	1"
"2018.02.28	14:00:00	116095	116195	115754	115981	62596	255342	1"
"2018.02.28	15:00:00	115981	116309	115854	116275	66568	273818	1"
"2018.02.28	16:00:00	116275	116322	115881	116008	61278	227981	1"
"2018.02.28	17:00:00	116001	116075	115033	115053	83775	308726	1"
"2018.02.28	18:00:00	115066	115113	114879	114919	8520	32159	1"
"2018.03.01	09:00:00	114612	115340	114499	115227	74636	234229	1"
"2018.03.01	10:00:00	115233	116055	115093	116001	105905	349896	1"
"2018.03.01	11:00:00	116001	116282	115460	115708	122201	435774	1"
"2018.03.01	12:00:00	115708	116228	115567	115601	108610	395886	1"
"2018.03.01	13:00:00	115607	116041	115293	115854	98693	366021	1"
"2018.03.01	14:00:00	115848	115881	115167	115541	100819	369105	1"
"2018.03.01	15:00:00	115534	115534	114398	114412	123167	475603	1"
"2018.03.01	16:00:00	114412	114806	113924	114719	128048	505773	1"
"2018.03.01	17:00:00	114719	115320	114492	115120	81154	336002	1"
"2018.03.01	18:00:00	115126	115213	114986	115126	3390	15687	1"
"2018.03.02	09:00:00	114452	114605	114024	114038	70959	216906	1"
"2018.03.02	10:00:00	114024	114325	113363	113951	111193	345559	1"
"2018.03.02	11:00:00	113951	114131	112949	113190	137327	460696	1"
"2018.03.02	12:00:00	113196	113517	113016	113383	94485	342407	1"
"2018.03.02	13:00:00	113377	114044	113256	114018	78017	283514	1"
"2018.03.02	14:00:00	114011	114699	113884	114552	93224	352112	1"
"2018.03.02	15:00:00	114545	114639	114225	114392	70715	270107	1"
"2018.03.02	16:00:00	114385	114980	114385	114699	77447	294494	1"
"2018.03.02	17:00:00	114699	115634	114619	115554	57762	230937	1"
"2018.03.02	18:00:00	115567	115681	115447	115547	4310	20928	1"
"2018.03.05	09:00:00	115280	115487	114973	115046	51111	148445	1"
"2018.03.05	10:00:00	115040	115253	114579	114646	94493	283316	1"
"2018.03.05	11:00:00	114652	115033	114459	114792	106319	352570	1"
"2018.03.05	12:00:00	114792	115460	114659	115440	78422	276188	1"
"2018.03.05	13:00:00	115434	115935	115394	115834	79938	301130	1"
"2018.03.05	14:00:00	115834	116015	115694	115834	59823	218312	1"
"2018.03.05	15:00:00	115841	116102	115748	115901	61315	217086	1"
"2018.03.05	16:00:00	115895	115988	115367	115714	71029	258659	1"
"2018.03.05	17:00:00	115714	116015	115440	115728	52801	215084	1"
"2018.03.05	18:00:00	115734	115788	115587	115587	2541	11554	1"
"2018.03.06	09:00:00	116489	116896	116409	116883	57911	184870	1"
"2018.03.06	10:00:00	116890	117103	116516	116649	96961	308580	1"
"2018.03.06	11:00:00	116656	116943	116322	116656	111845	376154	1"
"2018.03.06	12:00:00	116663	116816	115848	115968	115632	416306	1"
"2018.03.06	13:00:00	115968	116562	115881	116516	80873	303932	1"
"2018.03.06	14:00:00	116522	116643	116195	116609	68721	258929	1"
"2018.03.06	15:00:00	116603	116669	116021	116195	76157	289734	1"
"2018.03.06	16:00:00	116188	116409	116075	116182	51381	197913	1"
"2018.03.06	17:00:00	116182	116182	115260	115307	64930	253767	1"
"2018.03.06	18:00:00	115313	115434	115020	115020	4214	17414	1"
"2018.03.07	09:00:00	114412	114906	114292	114879	58240	182355	1"
"2018.03.07	10:00:00	114886	115273	114772	114953	68342	230752	1"
"2018.03.07	11:00:00	114953	115146	114171	114305	119989	431440	1"
"2018.03.07	12:00:00	114305	114439	113931	114312	98751	363749	1"
"2018.03.07	13:00:00	114305	114365	113704	113737	66614	238825	1"
"2018.03.07	14:00:00	113744	113944	113557	113844	65012	238252	1"
"2018.03.07	15:00:00	113851	114312	113530	114158	76034	287625	1"
"2018.03.07	16:00:00	114151	114332	113964	114125	62110	228234	1"
"2018.03.07	17:00:00	114125	115140	114098	115040	61005	248196	1"
"2018.03.07	18:00:00	115053	115060	114946	114946	2378	11542	1"
"2018.03.08	09:00:00	115153	115547	115080	115313	46810	143744	1"
"2018.03.08	10:00:00	115313	115454	114672	114893	88497	298049	1"
"2018.03.08	11:00:00	114893	115273	114251	114352	127517	454403	1"
"2018.03.08	12:00:00	114352	114398	113617	113664	93966	358542	1"
"2018.03.08	13:00:00	113670	114178	113584	114145	70033	265810	1"
"2018.03.08	14:00:00	114145	114211	113811	114138	64739	232367	1"
"2018.03.08	15:00:00	114151	114332	113690	113971	79903	288206	1"
"2018.03.08	16:00:00	113978	114552	113811	114392	65195	250500	1"
"2018.03.08	17:00:00	114392	114779	113958	114345	64980	264985	1"
"2018.03.08	18:00:00	114338	114398	114191	114372	4714	18804	1"
"2018.03.09	09:00:00	114131	114712	114125	114545	38864	125645	1"
"2018.03.09	10:00:00	114539	115808	114011	115407	145966	482680	1"
"2018.03.09	11:00:00	115400	115995	115287	115941	95783	334285	1"
"2018.03.09	12:00:00	115948	116202	115614	115961	77251	281954	1"
"2018.03.09	13:00:00	115961	116282	115868	116108	60663	216918	1"
"2018.03.09	14:00:00	116108	116188	115561	115661	67283	259813	1"
"2018.03.09	15:00:00	115667	116062	115661	115834	61298	238570	1"
"2018.03.09	16:00:00	115841	116142	115687	115854	56090	218364	1"
"2018.03.09	17:00:00	115848	116295	115768	116249	40985	170739	1"
"2018.03.09	18:00:00	116242	116295	116122	116122	4548	23918	1"
"2018.03.12	09:00:00	116616	116769	116449	116716	42177	137461	1"
