"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2018.07.13	15:00:00	100613	100626	100311	100351	44727	168735	1"
"2018.07.13	16:00:00	100351	100921	100337	100822	52231	210140	1"
"2018.07.13	17:00:00	100829	101156	100757	100940	25146	104141	1"
"2018.07.16	09:00:00	100691	100881	100462	100744	51467	154575	1"
"2018.07.16	10:00:00	100750	101228	100416	101104	129961	415661	1"
"2018.07.16	11:00:00	101111	101255	100174	100357	108582	350465	1"
"2018.07.16	12:00:00	100351	100698	100082	100685	58640	181150	1"
"2018.07.16	13:00:00	100685	100796	100278	100626	67060	217816	1"
"2018.07.16	14:00:00	100619	100632	100311	100547	43466	149043	1"
"2018.07.16	15:00:00	100547	100901	100383	100554	64963	217138	1"
"2018.07.16	16:00:00	100554	100803	100409	100737	53414	181507	1"
"2018.07.16	17:00:00	100744	101215	100737	101124	33621	129641	1"
"2018.07.17	09:00:00	100966	100966	100606	100665	52789	145791	1"
"2018.07.17	10:00:00	100665	101477	100586	101360	133871	388887	1"
"2018.07.17	11:00:00	101360	102277	101360	102237	129527	405637	1"
"2018.07.17	12:00:00	102244	102644	101890	102526	83912	268640	1"
"2018.07.17	13:00:00	102519	103083	102336	102984	69178	236285	1"
"2018.07.17	14:00:00	102991	103378	102932	103024	76664	263251	1"
"2018.07.17	15:00:00	103030	103122	102749	102945	70083	232726	1"
"2018.07.17	16:00:00	102945	103037	102814	102873	37771	139437	1"
"2018.07.17	17:00:00	102873	103030	102749	102749	19028	72828	1"
"2018.07.18	09:00:00	102683	102722	102264	102716	59816	173369	1"
"2018.07.18	10:00:00	102716	103214	102270	102585	142859	455788	1"
"2018.07.18	11:00:00	102585	102775	101995	102172	107342	333020	1"
"2018.07.18	12:00:00	102172	102637	101844	102172	84323	282112	1"
"2018.07.18	13:00:00	102172	102519	102002	102323	65796	217796	1"
"2018.07.18	14:00:00	102316	102565	102126	102237	59192	191230	1"
"2018.07.18	15:00:00	102237	102434	102113	102192	49749	165470	1"
"2018.07.18	16:00:00	102185	102270	101418	101550	81965	308923	1"
"2018.07.18	17:00:00	101543	101713	101346	101425	21665	85498	1"
"2018.07.19	09:00:00	101222	101228	100259	100436	84588	242729	1"
"2018.07.19	10:00:00	100449	100658	99728	99892	173266	475382	1"
"2018.07.19	11:00:00	99898	100927	99839	100868	110546	319239	1"
"2018.07.19	12:00:00	100875	100999	100069	100305	99370	306684	1"
"2018.07.19	13:00:00	100305	100599	100056	100154	55695	164261	1"
"2018.07.19	14:00:00	100154	100672	100023	100403	84986	258331	1"
"2018.07.19	15:00:00	100409	101084	100409	100606	75130	241932	1"
"2018.07.19	16:00:00	100599	101746	100285	101707	99981	349139	1"
"2018.07.19	17:00:00	101700	103391	101530	103391	59567	216840	1"
"2018.07.20	09:00:00	103941	105271	103928	104544	122588	328486	1"
"2018.07.20	10:00:00	104537	104550	103502	103934	203577	521998	1"
"2018.07.20	11:00:00	103928	104557	103836	104256	131059	357908	1"
"2018.07.20	12:00:00	104262	104465	103712	103790	76804	231703	1"
"2018.07.20	13:00:00	103790	104039	103587	103823	61243	189842	1"
"2018.07.20	14:00:00	103830	104013	103463	103961	64713	196088	1"
"2018.07.20	15:00:00	103954	104039	103076	103437	82586	261410	1"
"2018.07.20	16:00:00	103437	103482	102919	103194	70158	248252	1"
"2018.07.20	17:00:00	103188	103594	102866	102978	35842	133503	1"
"2018.07.23	09:00:00	103148	103148	102676	102939	68062	182762	1"
"2018.07.23	10:00:00	102939	103345	102572	102958	178946	508217	1"
"2018.07.23	11:00:00	102965	103240	102637	102840	112509	316205	1"
"2018.07.23	12:00:00	102840	102906	102362	102565	75054	233564	1"
"2018.07.23	13:00:00	102559	102722	102257	102585	55660	180144	1"
"2018.07.23	14:00:00	102585	102860	102545	102709	60455	198747	1"
"2018.07.23	15:00:00	102716	102998	102663	102703	59128	209116	1"
"2018.07.23	16:00:00	102703	102801	102388	102480	58256	212692	1"
"2018.07.23	17:00:00	102480	102624	102231	102323	33778	126013	1"
"2018.07.24	09:00:00	103587	104203	103450	104118	89261	240083	1"
"2018.07.24	10:00:00	104118	104308	103685	103941	142638	408602	1"
"2018.07.24	11:00:00	103948	104478	103535	104439	147840	460550	1"
"2018.07.24	12:00:00	104439	104557	104033	104210	94223	301471	1"
"2018.07.24	13:00:00	104216	104328	103921	104046	53806	175764	1"
"2018.07.24	14:00:00	104046	104111	103692	103817	65630	211194	1"
"2018.07.24	15:00:00	103810	104092	103758	103915	57499	198590	1"
"2018.07.24	16:00:00	103908	104249	103889	104157	56650	202542	1"
"2018.07.24	17:00:00	104157	104203	103967	103967	20376	75966	1"
"2018.07.25	09:00:00	103902	104413	103705	104380	73525	210449	1"
"2018.07.25	10:00:00	104373	105173	104367	104701	163264	496727	1"
"2018.07.25	11:00:00	104694	104878	104223	104282	119746	406611	1"
"2018.07.25	12:00:00	104288	104950	104223	104636	97972	343864	1"
"2018.07.25	13:00:00	104636	104885	104478	104819	48888	167390	1"
"2018.07.25	14:00:00	104819	105002	104649	104963	55437	179101	1"
"2018.07.25	15:00:00	104970	105631	104917	105245	96316	341171	1"
"2018.07.25	16:00:00	105245	105769	105101	105533	74819	273633	1"
"2018.07.25	17:00:00	105540	105743	105284	105461	29661	110295	1"
"2018.07.26	09:00:00	105487	105690	105179	105533	77249	221261	1"
"2018.07.26	10:00:00	105533	105710	105035	105291	181486	523084	1"
"2018.07.26	11:00:00	105291	105638	105022	105382	131787	406922	1"
"2018.07.26	12:00:00	105382	105527	105199	105310	64087	214885	1"
"2018.07.26	13:00:00	105304	105363	104504	104563	82878	280977	1"
"2018.07.26	14:00:00	104563	104603	104183	104485	83991	275164	1"
"2018.07.26	15:00:00	104485	104622	103823	104498	91093	306009	1"
"2018.07.26	16:00:00	104504	104518	104059	104138	68849	237169	1"
"2018.07.26	17:00:00	104144	104636	104085	104636	31711	128056	1"
"2018.07.27	09:00:00	105094	105343	104878	104917	80963	215896	1"
"2018.07.27	10:00:00	104924	105481	104708	105271	135767	411562	1"
"2018.07.27	11:00:00	105265	105382	104727	104963	105369	344860	1"
"2018.07.27	12:00:00	104957	105330	104885	105199	76879	252925	1"
"2018.07.27	13:00:00	105199	105212	104511	104518	81915	271724	1"
"2018.07.27	14:00:00	104518	104878	104380	104668	73001	244364	1"
"2018.07.27	15:00:00	104668	104780	104321	104616	68038	229647	1"
"2018.07.27	16:00:00	104603	105101	104596	104983	57205	191067	1"
"2018.07.27	17:00:00	104983	105160	104826	105160	25971	97207	1"
"2018.07.30	09:00:00	105219	105422	105114	105317	36646	104484	1"
"2018.07.30	10:00:00	105317	105645	104970	105055	115634	360770	1"
"2018.07.30	11:00:00	105055	105133	104636	104806	101368	344246	1"
"2018.07.30	12:00:00	104812	105245	104727	105186	62318	212099	1"
"2018.07.30	13:00:00	105186	105192	104858	105133	46840	167899	1"
"2018.07.30	14:00:00	105133	105592	105048	105369	68669	243916	1"
"2018.07.30	15:00:00	105363	105546	105238	105317	50410	186158	1"
"2018.07.30	16:00:00	105310	105730	105310	105441	63765	248570	1"
"2018.07.30	17:00:00	105435	105586	105350	105356	19947	83408	1"
"2018.07.31	09:00:00	105271	105409	104570	104734	79415	245624	1"
"2018.07.31	10:00:00	104734	104930	104124	104354	163491	534470	1"
"2018.07.31	11:00:00	104347	104360	103692	104000	131726	419680	1"
"2018.07.31	12:00:00	103993	104242	103908	104007	60968	201102	1"
"2018.07.31	13:00:00	104013	104308	103934	104203	46891	166229	1"
"2018.07.31	14:00:00	104197	104229	103941	104059	46386	163036	1"
"2018.07.31	15:00:00	104059	104216	103921	103987	53015	186179	1"
"2018.07.31	16:00:00	103987	104124	103751	103948	64877	229145	1"
"2018.07.31	17:00:00	103948	104072	103803	103915	27639	95616	1"
"2018.08.01	09:00:00	103777	103784	103371	103423	65087	203633	1"
"2018.08.01	10:00:00	103423	104256	103351	104007	146322	468471	1"
"2018.08.01	11:00:00	104000	104563	103980	104511	112934	382804	1"
"2018.08.01	12:00:00	104504	104694	103712	103830	86881	310966	1"
"2018.08.01	13:00:00	103830	104229	103613	104118	74041	274824	1"
"2018.08.01	14:00:00	104118	104216	103921	104059	45043	150498	1"
"2018.08.01	15:00:00	104059	104216	103744	104020	77901	256723	1"
"2018.08.01	16:00:00	104020	104282	104000	104052	56927	213216	1"
"2018.08.01	17:00:00	104052	104157	103934	104072	21619	89049	1"
"2018.08.02	09:00:00	103260	103437	102912	103371	61265	172810	1"
"2018.08.02	10:00:00	103364	103692	103109	103397	130307	408201	1"
"2018.08.02	11:00:00	103410	104098	103233	103934	130236	444517	1"
"2018.08.02	12:00:00	103934	104400	103882	104393	71336	248797	1"
"2018.08.02	13:00:00	104393	104865	104341	104675	74668	275512	1"
"2018.08.02	14:00:00	104668	104930	104537	104668	64394	226236	1"
"2018.08.02	15:00:00	104662	104793	104491	104662	55983	214229	1"
"2018.08.02	16:00:00	104649	104734	104485	104544	40794	163122	1"
"2018.08.02	17:00:00	104544	104806	104452	104806	23750	105938	1"
"2018.08.03	09:00:00	105487	105612	105166	105474	72153	224698	1"
"2018.08.03	10:00:00	105481	106274	105297	106274	157352	517013	1"
"2018.08.03	11:00:00	106274	107368	106267	107132	146028	535252	1"
"2018.08.03	12:00:00	107132	107165	106575	106667	77252	285531	1"
"2018.08.03	13:00:00	106667	106863	106588	106686	56578	210978	1"
"2018.08.03	14:00:00	106680	106732	106457	106654	58982	224846	1"
"2018.08.03	15:00:00	106654	106922	106581	106824	62242	238434	1"
"2018.08.03	16:00:00	106830	107125	106660	107007	57872	239032	1"
"2018.08.03	17:00:00	107007	107086	106837	106837	19415	84216	1"
"2018.08.06	09:00:00	106948	107577	106876	107243	75729	236319	1"
"2018.08.06	10:00:00	107243	107250	106627	107158	150758	481335	1"
"2018.08.06	11:00:00	107158	107322	106555	106811	110690	362310	1"
"2018.08.06	12:00:00	106811	106935	106123	106680	78410	274750	1"
"2018.08.06	13:00:00	106680	106929	106555	106837	58664	201283	1"
"2018.08.06	14:00:00	106837	106903	106634	106752	32514	117069	1"
"2018.08.06	15:00:00	106752	106791	106509	106634	46708	179975	1"
"2018.08.06	16:00:00	106627	106693	106260	106319	50304	195738	1"
"2018.08.06	17:00:00	106319	106385	106169	106188	17268	68481	1"
"2018.08.07	09:00:00	107007	107086	106804	106975	56534	170027	1"
"2018.08.07	10:00:00	106968	107243	106739	107171	140387	456984	1"
"2018.08.07	11:00:00	107165	107309	106627	107112	113663	403951	1"
"2018.08.07	12:00:00	107119	107145	106739	106909	70069	258860	1"
"2018.08.07	13:00:00	106909	106942	106346	106654	75208	275876	1"
"2018.08.07	14:00:00	106654	106771	105192	105396	130301	493254	1"
"2018.08.07	15:00:00	105396	105428	104760	105055	126126	442697	1"
"2018.08.07	16:00:00	105055	105422	104996	105212	68975	246281	1"
"2018.08.07	17:00:00	105206	105854	105114	105749	30501	123381	1"
"2018.08.08	09:00:00	105592	105835	105271	105455	98979	306397	1"
"2018.08.08	10:00:00	105455	106038	105382	105880	162239	519603	1"
"2018.08.08	11:00:00	105887	106116	105238	105671	150055	489541	1"
"2018.08.08	12:00:00	105671	105815	105376	105455	59168	187732	1"
"2018.08.08	13:00:00	105455	105468	104871	105068	73058	235677	1"
"2018.08.08	14:00:00	105068	105369	104983	105245	61631	194511	1"
"2018.08.08	15:00:00	105245	105310	104655	104780	67923	230356	1"
"2018.08.08	16:00:00	104786	104917	103423	103744	122343	414894	1"
"2018.08.08	17:00:00	103744	103895	103266	103312	32049	126219	1"
"2018.08.09	09:00:00	103469	103849	103233	103810	78918	237165	1"
"2018.08.09	10:00:00	103817	104151	102355	102565	185731	561875	1"
"2018.08.09	11:00:00	102565	103600	102506	103345	125529	389969	1"
"2018.08.09	12:00:00	103338	103443	102827	103096	89992	275356	1"
"2018.08.09	13:00:00	103102	103227	102683	102735	61162	193058	1"
"2018.08.09	14:00:00	102735	103227	102722	103011	64682	205988	1"
"2018.08.09	15:00:00	103011	103299	102834	103050	65096	216700	1"
"2018.08.09	16:00:00	103050	103456	102899	103129	70450	249327	1"
"2018.08.09	17:00:00	103135	103332	103109	103135	20028	79295	1"
"2018.08.10	09:00:00	102264	102663	102002	102277	95244	280316	1"
"2018.08.10	10:00:00	102283	102336	100652	100966	208283	668057	1"
"2018.08.10	11:00:00	100966	101294	100449	100947	139748	441865	1"
"2018.08.10	12:00:00	100947	101117	100324	100462	89970	294206	1"
"2018.08.10	13:00:00	100462	100560	99800	99931	89661	292422	1"
"2018.08.10	14:00:00	99925	100246	99617	100049	88293	292094	1"
"2018.08.10	15:00:00	100056	100344	99925	100134	75274	251420	1"
"2018.08.10	16:00:00	100134	100691	99879	100128	104341	361768	1"
"2018.08.10	17:00:00	100128	100344	99984	100115	29978	121396	1"
"2018.08.13	09:00:00	99853	99853	98804	99584	121280	349829	1"
"2018.08.13	10:00:00	99577	100488	99394	100475	188982	553099	1"
"2018.08.13	11:00:00	100475	101038	100285	100665	137371	433016	1"
"2018.08.13	12:00:00	100652	100868	99984	100003	113793	364343	1"
"2018.08.13	13:00:00	100003	100586	99846	100324	103629	344600	1"
"2018.08.13	14:00:00	100331	100757	100102	100436	84038	283222	1"
"2018.08.13	15:00:00	100436	101255	100429	101189	90698	313566	1"
"2018.08.13	16:00:00	101183	101877	100993	101576	92653	319836	1"
"2018.08.13	17:00:00	101582	102113	101477	101975	33837	124730	1"
"2018.08.14	09:00:00	102369	102873	101949	102768	115121	336257	1"
"2018.08.14	10:00:00	102762	102768	102218	102414	169619	473594	1"
"2018.08.14	11:00:00	102421	102480	102028	102303	117888	347702	1"
"2018.08.14	12:00:00	102303	102329	101694	102021	91630	295181	1"
"2018.08.14	13:00:00	102028	102395	101851	102342	75251	256768	1"
"2018.08.14	14:00:00	102336	102447	102041	102355	79554	262445	1"
"2018.08.14	15:00:00	102355	102919	102270	102912	85925	299111	1"
"2018.08.14	16:00:00	102912	103220	102886	103024	80142	277648	1"
"2018.08.14	17:00:00	103030	103188	102735	102735	18657	70409	1"
"2018.08.15	09:00:00	102106	102106	101093	101496	102589	252817	1"
"2018.08.15	10:00:00	101502	101957	101197	101548	146011	392594	1"
"2018.08.15	11:00:00	101541	101574	100568	100717	157408	438509	1"
"2018.08.15	12:00:00	100710	101411	100671	101100	115602	316907	1"
"2018.08.15	13:00:00	101100	101775	101048	101541	88966	268022	1"
"2018.08.15	14:00:00	101535	101684	101295	101392	69303	228291	1"
"2018.08.15	15:00:00	101392	101450	100697	100905	86362	269068	1"
"2018.08.15	16:00:00	100905	101204	100821	100976	79391	250629	1"
"2018.08.15	17:00:00	100976	100996	100606	100626	24895	93276	1"
"2018.08.16	09:00:00	101340	101580	101165	101431	72334	212068	1"
"2018.08.16	10:00:00	101431	101574	100925	100996	164448	491113	1"
"2018.08.16	11:00:00	101009	101749	100801	100899	204317	648978	1"
"2018.08.16	12:00:00	100899	101262	99944	100976	154646	458339	1"
"2018.08.16	13:00:00	100976	101593	100464	100730	120695	397795	1"
"2018.08.16	14:00:00	100736	101035	100555	100970	69593	227621	1"
"2018.08.16	15:00:00	100976	100983	100314	100606	87868	277830	1"
"2018.08.16	16:00:00	100606	100762	100438	100490	51447	178709	1"
"2018.08.16	17:00:00	100490	100710	100412	100710	22680	85117	1"
"2018.08.17	09:00:00	100094	100100	99192	99458	111881	302186	1"
"2018.08.17	10:00:00	99458	99841	99315	99639	137983	386377	1"
"2018.08.17	11:00:00	99639	99873	98925	99166	142936	415385	1"
"2018.08.17	12:00:00	99172	99367	98945	99269	78893	246116	1"
"2018.08.17	13:00:00	99276	99354	99029	99029	41424	144216	1"
"2018.08.17	14:00:00	99029	99542	98990	99484	66276	225800	1"
"2018.08.17	15:00:00	99490	99951	99464	99782	92596	330637	1"
"2018.08.17	16:00:00	99782	99841	99438	99516	58272	220208	1"
"2018.08.17	17:00:00	99510	99536	99217	99302	25492	103917	1"
"2018.08.20	09:00:00	99711	99880	99315	99334	87316	262764	1"
"2018.08.20	10:00:00	99334	99659	98964	99198	162156	504470	1"
"2018.08.20	11:00:00	99192	99490	98822	98945	134952	460144	1"
"2018.08.20	12:00:00	98951	99490	98938	99295	83344	276189	1"
"2018.08.20	13:00:00	99289	99802	99224	99782	81793	276064	1"
"2018.08.20	14:00:00	99782	99873	99412	99587	71190	239762	1"
"2018.08.20	15:00:00	99600	99828	99328	99581	74673	269837	1"
"2018.08.20	16:00:00	99581	100139	99561	99893	82960	292192	1"
"2018.08.20	17:00:00	99886	100178	99821	100009	29592	108551	1"
"2018.08.21	09:00:00	100347	100373	99406	99477	129813	381396	1"
"2018.08.21	10:00:00	99484	99613	99217	99510	157065	483766	1"
"2018.08.21	11:00:00	99510	99867	98860	99075	144514	485782	1"
"2018.08.21	12:00:00	99081	99263	98724	99217	92923	327980	1"
"2018.08.21	13:00:00	99217	99386	99062	99328	54049	178721	1"
"2018.08.21	14:00:00	99321	99445	99029	99204	59403	206590	1"
"2018.08.21	15:00:00	99204	99230	98283	98296	96488	339141	1"
"2018.08.21	16:00:00	98302	98471	97906	98231	103074	340637	1"
"2018.08.21	17:00:00	98224	98367	97764	97764	26730	97697	1"
"2018.08.22	09:00:00	98010	98296	97153	97497	118102	374677	1"
"2018.08.22	10:00:00	97497	98659	97491	98510	153861	523223	1"
"2018.08.22	11:00:00	98510	99263	98406	98932	122069	421298	1"
"2018.08.22	12:00:00	98938	99555	98672	99360	109230	388924	1"
"2018.08.22	13:00:00	99354	99386	98932	99192	70721	247401	1"
"2018.08.22	14:00:00	99192	99893	99179	99672	91555	338286	1"
"2018.08.22	15:00:00	99672	100269	99445	100237	108556	403120	1"
"2018.08.22	16:00:00	100237	100587	100009	100464	74623	288181	1"
"2018.08.22	17:00:00	100457	100866	100412	100866	27687	107397	1"
"2018.08.23	09:00:00	100490	100613	100133	100399	72361	227651	1"
"2018.08.23	10:00:00	100399	101035	100061	100704	187407	608534	1"
"2018.08.23	11:00:00	100704	100743	99451	99626	163161	582664	1"
"2018.08.23	12:00:00	99626	99730	99276	99529	90324	329664	1"
"2018.08.23	13:00:00	99523	99672	98951	99243	93201	316225	1"
"2018.08.23	14:00:00	99243	99412	98685	99140	110346	378819	1"
"2018.08.23	15:00:00	99146	99334	98893	99192	68590	223608	1"
"2018.08.23	16:00:00	99185	99451	98594	98822	70082	251013	1"
"2018.08.23	17:00:00	98815	99049	98685	99049	25402	95567	1"
"2018.08.24	09:00:00	99724	100308	99607	99925	71081	220358	1"
"2018.08.24	10:00:00	99925	100262	99555	99620	112533	365834	1"
"2018.08.24	11:00:00	99620	100074	99438	99828	116717	375537	1"
"2018.08.24	12:00:00	99834	100113	99555	99750	73918	262293	1"
"2018.08.24	13:00:00	99750	100165	99308	99438	81870	283552	1"
"2018.08.24	14:00:00	99438	99445	98906	99263	79273	263287	1"
"2018.08.24	15:00:00	99256	99912	99192	99789	60736	221438	1"
"2018.08.24	16:00:00	99795	99931	99536	99769	53784	187840	1"
"2018.08.24	17:00:00	99763	100022	99607	99957	24819	98425	1"
"2018.08.27	09:00:00	100347	100522	100165	100185	53561	163786	1"
"2018.08.27	10:00:00	100191	100950	100009	100899	124263	385445	1"
"2018.08.27	11:00:00	100905	101327	100827	101080	90185	293274	1"
"2018.08.27	12:00:00	101080	101437	101035	101275	60910	212825	1"
"2018.08.27	13:00:00	101275	101626	101152	101333	58572	203474	1"
"2018.08.27	14:00:00	101346	101431	101139	101256	57318	206866	1"
"2018.08.27	15:00:00	101262	102015	101256	101859	88149	326009	1"
"2018.08.27	16:00:00	101853	101898	101489	101801	64502	224874	1"
"2018.08.27	17:00:00	101788	101879	101424	101424	27860	107548	1"
"2018.08.28	09:00:00	101716	101749	101210	101431	67002	206987	1"
"2018.08.28	10:00:00	101424	101989	101282	101600	153321	487651	1"
"2018.08.28	11:00:00	101600	101639	100912	100931	117318	415661	1"
"2018.08.28	12:00:00	100931	101340	100814	101236	77649	299099	1"
"2018.08.28	13:00:00	101243	101437	100905	101145	68793	257744	1"
"2018.08.28	14:00:00	101152	101470	100944	101009	71169	255422	1"
"2018.08.28	15:00:00	101002	101184	100892	101113	61022	212953	1"
"2018.08.28	16:00:00	101113	101243	100710	101217	67878	242708	1"
"2018.08.28	17:00:00	101217	101840	101119	101840	28468	111337	1"
"2018.08.29	09:00:00	101320	101619	100957	101522	79135	247968	1"
"2018.08.29	10:00:00	101522	102210	101256	101924	133434	426997	1"
"2018.08.29	11:00:00	101924	102404	101781	102365	97386	330856	1"
"2018.08.29	12:00:00	102365	102891	102359	102794	80338	286746	1"
"2018.08.29	13:00:00	102794	103034	102709	102852	60964	228217	1"
"2018.08.29	14:00:00	102852	102917	102404	102437	58343	220777	1"
"2018.08.29	15:00:00	102437	102677	102333	102580	57370	211133	1"
"2018.08.29	16:00:00	102580	102768	102365	102476	54561	207293	1"
"2018.08.29	17:00:00	102476	102982	102437	102807	29720	126379	1"
"2018.08.30	09:00:00	102164	102301	102034	102047	48252	147690	1"
"2018.08.30	10:00:00	102047	102216	101509	101606	157245	465640	1"
"2018.08.30	11:00:00	101606	101775	101100	101230	114572	322562	1"
"2018.08.30	12:00:00	101230	101359	100321	100418	116782	335286	1"
"2018.08.30	13:00:00	100418	100606	99789	100230	117726	349565	1"
"2018.08.30	14:00:00	100224	100568	100126	100392	79206	261928	1"
"2018.08.30	15:00:00	100392	100425	99659	99782	102314	328140	1"
"2018.08.30	16:00:00	99782	100146	99587	99737	60673	197022	1"
"2018.08.30	17:00:00	99737	99828	99269	99269	31525	112112	1"
"2018.08.31	09:00:00	99445	99730	99107	99536	87571	255376	1"
"2018.08.31	10:00:00	99536	100191	99425	99873	123450	391239	1"
"2018.08.31	11:00:00	99873	100814	99867	100269	116136	393594	1"
"2018.08.31	12:00:00	100269	100340	99179	99536	115859	439036	1"
"2018.08.31	13:00:00	99542	100087	99347	99899	81278	280754	1"
"2018.08.31	14:00:00	99899	100568	99633	100542	91146	327565	1"
"2018.08.31	15:00:00	100535	100626	99951	100334	97749	362774	1"
"2018.08.31	16:00:00	100327	100542	100172	100386	67890	242902	1"
"2018.08.31	17:00:00	100386	100470	99990	100152	34161	128888	1"
"2018.09.03	09:00:00	100211	100211	98750	99068	94119	287519	1"
"2018.09.03	10:00:00	99068	99652	98750	99555	124545	395884	1"
"2018.09.03	11:00:00	99555	99743	99016	99594	90313	303941	1"
"2018.09.03	12:00:00	99600	99672	99360	99555	45889	177256	1"
"2018.09.03	13:00:00	99555	99730	99510	99646	23975	101624	1"
"2018.09.03	14:00:00	99646	99698	99516	99568	26536	104505	1"
"2018.09.03	15:00:00	99568	99665	99406	99419	17393	79031	1"
"2018.09.03	16:00:00	99432	99568	99367	99393	22830	97192	1"
"2018.09.03	17:00:00	99386	99548	99282	99451	17432	83134	1"
"2018.09.04	09:00:00	98796	99295	98549	98997	70551	211174	1"
"2018.09.04	10:00:00	99003	99256	98289	98607	161825	487815	1"
"2018.09.04	11:00:00	98614	98873	98348	98614	132152	426662	1"
"2018.09.04	12:00:00	98620	98627	97965	98159	89267	301593	1"
"2018.09.04	13:00:00	98159	98361	98062	98134	56227	185456	1"
"2018.09.04	14:00:00	98140	98341	97835	97978	70290	232919	1"
"2018.09.04	15:00:00	97971	98296	97705	97828	95885	335295	1"
"2018.09.04	16:00:00	97828	97880	97303	97394	77291	273242	1"
"2018.09.04	17:00:00	97387	97484	97264	97290	26597	106930	1"
"2018.09.05	09:00:00	96920	97056	96628	96855	71100	214328	1"
"2018.09.05	10:00:00	96855	97660	96855	97348	155629	471416	1"
"2018.09.05	11:00:00	97348	97906	97101	97770	131449	414592	1"
"2018.09.05	12:00:00	97777	98179	97660	98004	90102	306256	1"
"2018.09.05	13:00:00	98010	98257	97932	98095	71152	254683	1"
"2018.09.05	14:00:00	98101	98400	97900	98049	72584	270649	1"
"2018.09.05	15:00:00	98056	98348	97841	98095	72526	272871	1"
"2018.09.05	16:00:00	98088	98354	97744	97893	72849	280525	1"
"2018.09.05	17:00:00	97900	97913	97621	97621	22972	97677	1"
"2018.09.06	09:00:00	97919	98731	97738	98685	56366	159055	1"
"2018.09.06	10:00:00	98679	98893	98491	98822	107448	331221	1"
"2018.09.06	11:00:00	98822	98867	97926	98198	129634	442383	1"
"2018.09.06	12:00:00	98205	98575	97802	98257	89004	321512	1"
"2018.09.06	13:00:00	98257	98458	98088	98250	55746	201845	1"
"2018.09.06	14:00:00	98250	98841	98069	98659	71573	248135	1"
"2018.09.06	15:00:00	98659	98776	98270	98341	55748	219154	1"
"2018.09.06	16:00:00	98341	99996	98341	99587	142715	513865	1"
"2018.09.06	17:00:00	99587	101970	99464	100490	75207	298412	1"
"2018.09.10	09:00:00	101191	101405	100477	100704	95799	281011	1"
"2018.09.10	10:00:00	100710	101015	100152	100503	143169	441809	1"
"2018.09.10	11:00:00	100496	100509	99510	99548	115030	373541	1"
"2018.09.10	12:00:00	99542	99750	99250	99646	98569	332596	1"
"2018.09.10	13:00:00	99639	100133	99510	100113	71187	253435	1"
"2018.09.10	14:00:00	100113	100269	99594	99620	76713	274770	1"
"2018.09.10	15:00:00	99620	99925	99458	99782	86748	324166	1"
"2018.09.10	16:00:00	99776	99905	99217	99484	64921	260166	1"
"2018.09.10	17:00:00	99484	100217	99484	99854	47908	209745	1"
"2018.09.11	09:00:00	98296	98491	97841	98030	87729	263282	1"
"2018.09.11	10:00:00	98023	98153	97608	98017	155032	449410	1"
"2018.09.11	11:00:00	98017	98121	97004	97063	131160	409148	1"
"2018.09.11	12:00:00	97056	97335	96907	97277	78541	249799	1"
"2018.09.11	13:00:00	97270	97510	96978	97089	70197	227821	1"
"2018.09.11	14:00:00	97089	97290	96816	96952	73938	252678	1"
"2018.09.11	15:00:00	96952	97445	96939	97257	72989	246297	1"
"2018.09.11	16:00:00	97257	97374	97037	97251	67612	240403	1"
"2018.09.11	17:00:00	97244	97692	97192	97692	38792	146292	1"
"2018.09.12	09:00:00	98400	98458	97919	98121	71633	217451	1"
"2018.09.12	10:00:00	98127	98335	97757	98108	137985	419895	1"
"2018.09.12	11:00:00	98101	98172	97076	97296	128657	438311	1"
"2018.09.12	12:00:00	97303	97945	97127	97471	113476	412023	1"
"2018.09.12	13:00:00	97465	97939	97361	97854	56714	218437	1"
"2018.09.12	14:00:00	97861	98341	97841	98309	69217	266367	1"
"2018.09.12	15:00:00	98309	98633	98257	98627	66906	252394	1"
"2018.09.12	16:00:00	98627	98705	97919	98036	80656	307184	1"
"2018.09.12	17:00:00	98036	98114	97660	97660	19902	80963	1"
"2018.09.13	09:00:00	98516	98679	97958	98276	84367	246946	1"
"2018.09.13	10:00:00	98283	98335	97575	97822	146816	451228	1"
"2018.09.13	11:00:00	97815	97932	97173	97316	114952	373367	1"
"2018.09.13	12:00:00	97322	97536	97121	97523	66087	220923	1"
"2018.09.13	13:00:00	97523	98049	97517	97692	70538	239122	1"
"2018.09.13	14:00:00	97692	97958	97523	97588	64929	217459	1"
"2018.09.13	15:00:00	97588	97744	97205	97400	65064	229076	1"
"2018.09.13	16:00:00	97400	97556	97050	97251	61206	225003	1"
"2018.09.13	17:00:00	97251	97394	97101	97101	17936	62189	1"
"2018.09.14	09:00:00	97504	97777	97173	97212	76933	229405	1"
"2018.09.14	10:00:00	97218	98503	97212	98296	155499	485618	1"
"2018.09.14	11:00:00	98302	98341	97725	97854	97271	317553	1"
"2018.09.14	12:00:00	97854	98205	97757	97971	67632	238412	1"
"2018.09.14	13:00:00	97978	97984	96978	97264	103194	362687	1"
"2018.09.14	14:00:00	97264	98121	97192	98056	80798	292446	1"
"2018.09.14	15:00:00	98056	98646	97965	98646	71165	261766	1"
"2018.09.14	16:00:00	98646	98718	98140	98237	64591	250083	1"
