datetime;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick;label
2025-10-10 10:40:00;141965;142330;142340;141895;352893;100435;Lateral
2025-10-10 10:45:00;142330;142275;142350;142120;267437;76036;Lateral
2025-10-10 10:50:00;142275;142100;142430;142060;421352;125983;Lateral
2025-10-10 10:55:00;142095;141785;142110;141355;645414;196896;Lateral
2025-10-10 11:00:00;141785;141630;141920;141625;305828;100267;Lateral
2025-10-10 11:05:00;141635;142220;142260;141440;443910;135679;Lateral
2025-10-10 11:10:00;142215;141900;142235;141815;281004;87903;Lateral
2025-10-10 11:15:00;141905;142065;142230;141895;272703;84288;Lateral
2025-10-10 11:20:00;142060;141750;142105;141670;278777;82716;Lateral
2025-10-10 11:25:00;141750;141680;141900;141615;228053;69320;Lateral
2025-10-10 11:30:00;141680;141690;141865;141665;191341;59454;Lateral
2025-10-10 11:35:00;141695;141925;141930;141510;240039;74975;Lateral
2025-10-10 11:40:00;141925;141890;141960;141815;132391;43623;Lateral
2025-10-10 11:45:00;141885;141955;142015;141790;165407;49936;Lateral
2025-10-10 11:50:00;141955;141980;142000;141830;130509;37957;Lateral
2025-10-10 11:55:00;141975;141560;142010;141490;314923;96993;Lateral
2025-10-13 09:00:00;141550;141690;141900;141550;260604;89414;Venda
2025-10-13 09:05:00;141685;141735;141975;141575;412863;146142;Venda
2025-10-13 09:10:00;141735;141670;141830;141620;192437;66202;Venda
2025-10-13 09:15:00;141670;141635;141790;141600;170043;58674;Venda
2025-10-13 09:20:00;141640;141755;141845;141585;238218;80279;Venda
2025-10-13 09:25:00;141760;141765;141830;141650;208829;66675;Venda
2025-10-13 09:30:00;141765;141860;141970;141755;299866;97695;Venda
2025-10-13 09:35:00;141860;141785;141935;141715;167618;55740;Venda
2025-10-13 09:40:00;141785;141990;142030;141775;240728;76835;Venda
2025-10-13 09:45:00;141990;141945;142060;141860;288400;91295;Venda
2025-10-13 09:50:00;141945;142065;142090;141920;219079;70253;Venda
2025-10-13 09:55:00;142065;142020;142230;142000;292017;93750;Venda
2025-10-13 10:00:00;142020;141890;142105;141755;419343;137711;Venda
2025-10-13 10:05:00;141885;141820;142005;141785;262726;88250;Venda
2025-10-13 10:10:00;141820;141840;141940;141765;229169;73973;Venda
