Data_Hora_UTC,Data_Hora_BR,Abertura,Maxima,Minima,Fechamento,Volume_Tick,Volume_Real
2024-10-17 11:30:00+00:00,2024-10-17 08:30:00+00:00,132460.0,132700.0,132455.0,132660.0,85071,319108
2024-10-17 11:40:00+00:00,2024-10-17 08:40:00+00:00,132660.0,132685.0,132520.0,132560.0,63728,232842
2024-10-17 11:50:00+00:00,2024-10-17 08:50:00+00:00,132555.0,132730.0,132510.0,132710.0,69565,257237
2024-10-17 12:00:00+00:00,2024-10-17 09:00:00+00:00,132710.0,132750.0,132630.0,132750.0,57540,231743
2024-10-17 12:10:00+00:00,2024-10-17 09:10:00+00:00,132750.0,132790.0,132670.0,132750.0,49031,195328
2024-10-17 12:20:00+00:00,2024-10-17 09:20:00+00:00,132755.0,132855.0,132675.0,132815.0,48241,194572
2024-10-17 12:30:00+00:00,2024-10-17 09:30:00+00:00,132815.0,132885.0,132805.0,132820.0,42080,177030
2024-10-17 12:40:00+00:00,2024-10-17 09:40:00+00:00,132825.0,132830.0,132570.0,132590.0,65783,263987
2024-10-17 12:50:00+00:00,2024-10-17 09:50:00+00:00,132590.0,132615.0,132545.0,132565.0,41542,171060
2024-10-18 10:00:00+00:00,2024-10-18 07:00:00+00:00,133500.0,133710.0,133415.0,133590.0,169566,587096
2024-10-18 10:10:00+00:00,2024-10-18 07:10:00+00:00,133585.0,133820.0,133435.0,133460.0,172898,604665
2024-10-18 10:20:00+00:00,2024-10-18 07:20:00+00:00,133465.0,133725.0,133465.0,133540.0,122327,431704
2024-10-18 10:30:00+00:00,2024-10-18 07:30:00+00:00,133535.0,133565.0,132920.0,132980.0,212496,779093
2024-10-18 10:40:00+00:00,2024-10-18 07:40:00+00:00,132980.0,133025.0,132630.0,132640.0,149193,583779
2024-10-18 10:50:00+00:00,2024-10-18 07:50:00+00:00,132635.0,132670.0,132350.0,132410.0,142867,617962
2024-10-18 11:00:00+00:00,2024-10-18 08:00:00+00:00,132405.0,132480.0,132245.0,132265.0,106522,456990
2024-10-18 11:10:00+00:00,2024-10-18 08:10:00+00:00,132265.0,132300.0,132120.0,132245.0,117157,497680
2024-10-18 11:20:00+00:00,2024-10-18 08:20:00+00:00,132245.0,132280.0,132155.0,132205.0,62204,250754
2024-10-18 11:30:00+00:00,2024-10-18 08:30:00+00:00,132205.0,132465.0,132195.0,132450.0,78408,340132
2024-10-18 11:40:00+00:00,2024-10-18 08:40:00+00:00,132455.0,132830.0,132440.0,132635.0,136768,588436
2024-10-18 11:50:00+00:00,2024-10-18 08:50:00+00:00,132635.0,132770.0,132540.0,132555.0,68800,301497
2024-10-18 12:00:00+00:00,2024-10-18 09:00:00+00:00,132555.0,132565.0,132255.0,132265.0,73883,313867
2024-10-18 12:10:00+00:00,2024-10-18 09:10:00+00:00,132260.0,132345.0,132185.0,132245.0,67916,280405
2024-10-18 12:20:00+00:00,2024-10-18 09:20:00+00:00,132250.0,132330.0,132150.0,132290.0,60622,258161
2024-10-18 12:30:00+00:00,2024-10-18 09:30:00+00:00,132285.0,132385.0,132220.0,132340.0,52387,229307
2024-10-18 12:40:00+00:00,2024-10-18 09:40:00+00:00,132340.0,132340.0,132205.0,132295.0,42474,178927
2024-10-18 12:50:00+00:00,2024-10-18 09:50:00+00:00,132290.0,132345.0,132230.0,132330.0,26275,106686
2024-10-21 10:00:00+00:00,2024-10-21 07:00:00+00:00,132925.0,133055.0,132680.0,132945.0,201706,700583
2024-10-21 10:10:00+00:00,2024-10-21 07:10:00+00:00,132945.0,133115.0,132905.0,133045.0,182468,594664
2024-10-21 10:20:00+00:00,2024-10-21 07:20:00+00:00,133045.0,133070.0,132735.0,132885.0,179923,617644
2024-10-21 10:30:00+00:00,2024-10-21 07:30:00+00:00,132880.0,133020.0,132710.0,132830.0,157942,523921
2024-10-21 10:40:00+00:00,2024-10-21 07:40:00+00:00,132835.0,132900.0,132650.0,132745.0,130954,438323
2024-10-21 10:50:00+00:00,2024-10-21 07:50:00+00:00,132745.0,132790.0,132635.0,132655.0,80113,280352
2024-10-21 11:00:00+00:00,2024-10-21 08:00:00+00:00,132655.0,132845.0,132490.0,132790.0,176502,629702
2024-10-21 11:10:00+00:00,2024-10-21 08:10:00+00:00,132790.0,132800.0,132420.0,132525.0,155260,557631
2024-10-21 11:20:00+00:00,2024-10-21 08:20:00+00:00,132525.0,132540.0,132170.0,132345.0,156332,591481
2024-10-21 11:30:00+00:00,2024-10-21 08:30:00+00:00,132350.0,132670.0,132335.0,132605.0,119594,468371
2024-10-21 11:40:00+00:00,2024-10-21 08:40:00+00:00,132600.0,132650.0,132460.0,132460.0,82675,309001
2024-10-21 11:50:00+00:00,2024-10-21 08:50:00+00:00,132460.0,132570.0,132380.0,132415.0,83236,318550
2024-10-21 12:00:00+00:00,2024-10-21 09:00:00+00:00,132420.0,132440.0,132205.0,132305.0,88788,341667
2024-10-21 12:10:00+00:00,2024-10-21 09:10:00+00:00,132305.0,132430.0,132230.0,132355.0,79076,304800
2024-10-21 12:20:00+00:00,2024-10-21 09:20:00+00:00,132355.0,132390.0,132105.0,132215.0,74754,289677
2024-10-21 12:30:00+00:00,2024-10-21 09:30:00+00:00,132215.0,132245.0,132115.0,132200.0,50916,207435
2024-10-21 12:40:00+00:00,2024-10-21 09:40:00+00:00,132200.0,132480.0,132185.0,132450.0,64247,251096
2024-10-21 12:50:00+00:00,2024-10-21 09:50:00+00:00,132450.0,132555.0,132405.0,132445.0,59331,238273
2024-10-22 10:00:00+00:00,2024-10-22 07:00:00+00:00,131405.0,131470.0,131205.0,131465.0,193331,674150
2024-10-22 10:10:00+00:00,2024-10-22 07:10:00+00:00,131460.0,131960.0,131420.0,131945.0,257528,934626
2024-10-22 10:20:00+00:00,2024-10-22 07:20:00+00:00,131945.0,132065.0,131695.0,131855.0,260588,934604
2024-10-22 10:30:00+00:00,2024-10-22 07:30:00+00:00,131860.0,132135.0,131785.0,131980.0,195129,696923
2024-10-22 10:40:00+00:00,2024-10-22 07:40:00+00:00,131975.0,131985.0,131425.0,131460.0,197718,685302
2024-10-22 10:50:00+00:00,2024-10-22 07:50:00+00:00,131460.0,131470.0,131080.0,131180.0,198912,803682
2024-10-22 11:00:00+00:00,2024-10-22 08:00:00+00:00,131180.0,131330.0,131065.0,131170.0,148171,584704
2024-10-22 11:10:00+00:00,2024-10-22 08:10:00+00:00,131170.0,131260.0,131035.0,131075.0,120508,491573
2024-10-22 11:20:00+00:00,2024-10-22 08:20:00+00:00,131075.0,131135.0,130960.0,131015.0,91531,386713
2024-10-22 11:30:00+00:00,2024-10-22 08:30:00+00:00,131015.0,131425.0,131000.0,131400.0,133730,573458
2024-10-22 11:40:00+00:00,2024-10-22 08:40:00+00:00,131400.0,131660.0,131305.0,131555.0,125632,490740
2024-10-22 11:50:00+00:00,2024-10-22 08:50:00+00:00,131555.0,131595.0,131320.0,131370.0,107402,435865
2024-10-22 12:00:00+00:00,2024-10-22 09:00:00+00:00,131365.0,131375.0,131035.0,131085.0,102723,435311
2024-10-22 12:10:00+00:00,2024-10-22 09:10:00+00:00,131080.0,131180.0,131015.0,131100.0,72040,301053
2024-10-22 12:20:00+00:00,2024-10-22 09:20:00+00:00,131100.0,131245.0,131095.0,131235.0,47246,194279
2024-10-22 12:30:00+00:00,2024-10-22 09:30:00+00:00,131235.0,131350.0,131230.0,131345.0,39928,166098
2024-10-22 12:40:00+00:00,2024-10-22 09:40:00+00:00,131340.0,131575.0,131335.0,131565.0,51941,245338
2024-10-22 12:50:00+00:00,2024-10-22 09:50:00+00:00,131560.0,131575.0,131450.0,131565.0,50239,223870
2024-10-23 10:00:00+00:00,2024-10-23 07:00:00+00:00,130785.0,131205.0,130740.0,131205.0,188404,663759
2024-10-23 10:10:00+00:00,2024-10-23 07:10:00+00:00,131200.0,131265.0,130970.0,130995.0,247663,859606
2024-10-23 10:20:00+00:00,2024-10-23 07:20:00+00:00,130990.0,131215.0,130970.0,131085.0,152673,550767
2024-10-23 10:30:00+00:00,2024-10-23 07:30:00+00:00,131080.0,131295.0,130800.0,131025.0,251849,879578
2024-10-23 10:40:00+00:00,2024-10-23 07:40:00+00:00,131020.0,131240.0,131000.0,131220.0,109719,399317
2024-10-23 10:50:00+00:00,2024-10-23 07:50:00+00:00,131225.0,131260.0,131055.0,131160.0,110243,392430
2024-10-23 11:00:00+00:00,2024-10-23 08:00:00+00:00,131155.0,131205.0,130830.0,130840.0,140874,533851
2024-10-23 11:10:00+00:00,2024-10-23 08:10:00+00:00,130835.0,130920.0,130595.0,130600.0,159017,599161
2024-10-23 11:20:00+00:00,2024-10-23 08:20:00+00:00,130595.0,130860.0,130590.0,130755.0,141468,542416
2024-10-23 11:30:00+00:00,2024-10-23 08:30:00+00:00,130755.0,130780.0,130480.0,130545.0,127464,530500
2024-10-23 11:40:00+00:00,2024-10-23 08:40:00+00:00,130540.0,130630.0,130430.0,130530.0,102892,429733
2024-10-23 11:50:00+00:00,2024-10-23 08:50:00+00:00,130525.0,130705.0,130515.0,130695.0,70699,281383
2024-10-23 12:00:00+00:00,2024-10-23 09:00:00+00:00,130700.0,130730.0,130620.0,130645.0,54694,223501
2024-10-23 12:10:00+00:00,2024-10-23 09:10:00+00:00,130650.0,130670.0,130540.0,130560.0,70791,289808
2024-10-23 12:20:00+00:00,2024-10-23 09:20:00+00:00,130560.0,130725.0,130555.0,130710.0,54516,217936
2024-10-23 12:30:00+00:00,2024-10-23 09:30:00+00:00,130710.0,130875.0,130700.0,130875.0,60712,264523
2024-10-23 12:40:00+00:00,2024-10-23 09:40:00+00:00,130875.0,131030.0,130860.0,131025.0,58757,245124
2024-10-23 12:50:00+00:00,2024-10-23 09:50:00+00:00,131020.0,131070.0,130965.0,131050.0,42263,192234
2024-10-24 10:00:00+00:00,2024-10-24 07:00:00+00:00,130995.0,131040.0,130705.0,130790.0,166551,585528
2024-10-24 10:10:00+00:00,2024-10-24 07:10:00+00:00,130790.0,130975.0,130705.0,130730.0,181477,627274
